,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
62,"Najer, Evgeniy","Giri, Anish",2635,2780,2019.09.15,,1/2-1/2,C45,2.3
63,"Giri, Anish","Svidler, Peter",2672,2734,2010.08.12,,1/2-1/2,A15,1
64,"Giri, Anish","Aronian, Levon",2782,2764,2018.06.16,tourn (rapid),0-1,C88,16
65,"Nikolaev, V Rus","Giri, Anish",2201,,2005.05.19,,1-0,E32,4
66,"Artemiev, Vladislav","Giri, Anish",2699,2777,2021.10.04,,1/2-1/2,C48,9.1
67,"Giri, Anish","Dubov, Daniil",2779,2700,2019.08.01,blitz,1-0,B31,11
68,"Duda, Jan Krzysztof","Giri, Anish",2738,2783,2018.12.30,swiss,1/2-1/2,D00,19.2
69,"Giri, Anish","Hou, Yifan",2693,2623,2012.10.27,tourn,1/2-1/2,E05,6
70,"Tomashevsky, Evgeny","Giri, Anish",2696,2785,2017.05.18,,1/2-1/2,A62,6.5
71,"Giri, Anish","Vorobiov, Dmitry",,2099,2005.05.25,,0-1,B40,9
72,"Aronian, Levon","Giri, Anish",2767,2782,2018.09.20,,1-0,A47,2.24
73,"Vachier Lagrave, Maxime","Giri, Anish",2754,2776,2015.05.22,tourn,1/2-1/2,D46,8
74,"Yu, Yang","Giri, Anish",2723,2734,2013.12.14,rapid,1/2-1/2,A37,7.6
75,"Giri, Anish","Grischuk, Alexander",2776,2778,2021.07.11,,1/2-1/2,,23.3
76,"Maly, Alexey","Giri, Anish",2371,2764,2020.11.17,swiss,0-1,D10,11
77,"Giri, Anish","Grandelius, Nils",2790,2649,2016.04.28,tourn,1/2-1/2,D46,8
78,"Aronian, Levon","Giri, Anish",2767,2782,2018.09.20,,1-0,C42,2.6
79,"McShane, Luke J","Giri, Anish",2657,2677,2010.10.01,team-swiss,1/2-1/2,C42,10.3
80,"Aronian, Levon","Giri, Anish",2803,2734,2013.12.17,rapid,1-0,A48,1.2
81,"Carlsen, Magnus","Giri, Anish",2855,2777,2021.10.01,,1/2-1/2,B51,6.6
82,"Mamedyarov, Shakhriyar","Giri, Anish",2801,2782,2018.09.07,,1/2-1/2,C26,1.32
83,"Carlsen, Magnus","Giri, Anish",2832,2771,2017.07.02,tourn (blitz),1/2-1/2,D02,16
84,"Babula, Vlastimil","Giri, Anish",2554,2798,2015.10.19,team-swiss,1-0,D31,2.1
85,"Giri, Anish","Navara, David",2764,2719,2020.06.14,,1-0,B76,3.8
86,"Berkovich, Mark A","Giri, Anish",2406,2585,2009.12.24,swiss,0-1,D02,4
87,"Giri, Anish","Nakamura, Hikaru",2774,2736,2021.12.06,,0-1,C50,2.110
88,"Dubov, Daniil","Giri, Anish",2710,2780,2021.05.15,,1-0,,34.1
89,"Giri, Anish","L'Ami, Erwin",2722,2622,2013.02.26,swiss,1-0,D15,9
90,"Teske, Henrik","Giri, Anish",2513,2466,2008.12.14,,0-1,A31,9
91,"Taraswinee, B.","Giri, Anish",1740,2764,2021.02.20,team,0-1,B22,5.2
92,"Giri, Anish","Caruana, Fabiano",2779,2819,2019.07.29,blitz,1/2-1/2,,7.5
93,"Ding, Liren","Giri, Anish",2777,2772,2017.08.11,match,1/2-1/2,A09,4
94,"Das, Arghyadip","Giri, Anish",2392,2518,2009.08.13,swiss,1/2-1/2,A07,7
95,"Giri, Anish","Grandelius, Nils",2780,2670,2021.05.14,,1-0,,14.1
96,"Ceko, Jovan","Giri, Anish",2242,2344,2008.04.08,swiss,0-1,B44,4
97,"Giri, Anish","Jobava, Baadur",2774,2582,2021.11.12,,1-0,B12,1.6
98,"Giri, Anish","Vachier Lagrave, Maxime",2764,2784,2021.02.07,rapid,1-0,B67,9.5
99,"Firouzja, Alireza","Giri, Anish",2728,2764,2020.05.16,,1-0,B50,3.2
100,"Giri, Anish","Antonenko, Vladimir",2764,2391,2021.02.20,team,1-0,A00,4.1
101,"Giri, Anish","Heinemann, Thies",2466,2490,2009.03.28,team-tourn,1/2-1/2,E15,14.6
102,"Giri, Anish","Sirosh, Ilja",2731,2254,2020.08.14,,0-1,D33,3
103,"Jones, Glynn","Giri, Anish",2637,2722,2013.02.27,,1/2-1/2,D10,10.2
104,"Giri, Anish","Radjabov, Teimour",2764,2765,2021.02.09,rapid,0-1,B32,1.13
105,"Giri, Anish","Nepomniachtchi, Ian",2731,2778,2020.11.23,tourn,1/2-1/2,,8.5
106,"Giri, Anish","Kramnik, Vladimir",2782,2812,2016.06.09,tourn (rapid),1/2-1/2,A14,5
107,"Duda, Jan Krzysztof","Giri, Anish",2730,2780,2019.09.06,,1-0,D45,1.27
108,"Giri, Anish","Movsesian, Sergei",2773,2599,2022.04.02,rapid,1-0,B46,9
109,"Matlakov, Maxim","Giri, Anish",2690,2739,2018.12.28,blitz,1/2-1/2,A29,14.7
110,"Giri, Anish","Wesley, George",2775,2810,2017.06.29,,1/2-1/2,D42,5
111,"Jovanovic, Zoran","Giri, Anish",2526,2624,2010.03.07,swiss,1/2-1/2,C42,2
112,"Giri, Anish","Carlsen, Magnus",,,2016.06.12,tourn (rapid),1-0,,15
113,"Nepomniachtchi, Ian","Giri, Anish",2775,2779,2019.07.28,blitz,1/2-1/2,,5.5
114,"Aronian, Levon","Giri, Anish",2767,2782,2018.09.20,,0-1,C42,2.20
115,"Giri, Anish","Short, Nigel D",2768,2661,2014.12.09,k.o. (rapid),1/2-1/2,D40,1.4
116,"Vachier Lagrave, Maxime","Giri, Anish",2860,2731,2021.03.16,,1/2-1/2,,4.4
117,"Carlsen, Magnus","Giri, Anish",2881,2731,2020.12.27,,1/2-1/2,,8.6
118,"Van Foreest, Jorden","Giri, Anish",2671,2764,2021.01.31,,1/2-1/2,,14.1
119,"Giri, Anish","Anand, Viswanathan",2798,2784,2016.02.12,tourn (blitz),0-1,B52,2
120,"Tomberg, Dmitry","Giri, Anish",,2218,2007.06.26,,0-1,B84,2
121,"Berkes, Ferenc","Giri, Anish",2640,2755,2016.09.12,,1/2-1/2,D02,10.12
122,"Giri, Anish","Graf, Felix",2430,2256,2008.10.05,game,1/2-1/2,C11,2.7
123,"Giri, Anish","Artemiev, Victor",2764,2708,2020.11.16,schev,1-0,C42,1.25
124,"Giri, Anish","Nepomniachtchi, Ian",2755,2740,2016.10.01,tourn,1/2-1/2,D97,5
125,"Giri, Anish","Azimova, Karina",2341,1811,2007.10.28,,1-0,C41,2.20
126,"Ginsburg, Gennadi","Giri, Anish",2537,2552,2010.03.21,team-tourn,0-1,B04,13.2
127,"Giri, Anish","Voit, Daria",2764,2343,2020.05.12,,1-0,C02,4
128,"Zhigalko, Sergei","Giri, Anish",2678,2745,2014.08.11,team-swiss,1/2-1/2,B22,9.1
129,"Giri, Anish","Ding, Liren",2798,2766,2016.01.17,tourn,1/2-1/2,E14,2
130,"So, Wesley","Giri, Anish",2815,2785,2017.05.25,k.o. (blitz),0-1,D85,1.7
131,"Giri, Anish","Vachier Lagrave, Maxime",2764,2784,2021.01.26,,1-0,B90,9
132,"Giri, Anish","Kramnik, Vladimir",2764,2789,2017.06.30,tourn (blitz),1/2-1/2,A13,9
133,"Giri, Anish","Nakamura, Hikaru",2774,2736,2021.12.06,,1/2-1/2,D52,2.34
134,"Wesley, George","Giri, Anish",2760,2798,2015.11.01,,1/2-1/2,D45,6
135,"Giri, Anish","Fridman, Daniel",2344,2627,2008.04.07,swiss,0-1,B19,3
136,"Giri, Anish","Grandelius, Nils",2642,2476,2010.05.27,tourn,1-0,E04,2
137,"Giri, Anish","Radjabov, Teimour",2780,2765,2021.05.27,,1/2-1/2,,6.4
138,"Nepomniachtchi, Ian","Giri, Anish",2778,2731,2020.07.01,,1-0,,9.4
139,"Artemiev, Vladislav","Giri, Anish",2716,2764,2020.04.15,blitz,1-0,A06,10
140,"Van Foreest, Jorden","Giri, Anish",2714,2773,2022.04.25,,1-0,A04,4.5
141,"Demchenko, Anna","Giri, Anish",2654,2773,2022.04.02,rapid,1/2-1/2,C50,3
142,"Hellers, F.","Giri, Anish",2592,2763,2020.03.02,,0-1,A07,1
143,"Firouzja, Alireza","Giri, Anish",2703,2731,2020.04.28,,1-0,,11.1
144,"Leko, Peter","Giri, Anish",2679,2762,2017.10.30,team-swiss,1/2-1/2,B90,3.1
145,"Mamedyarov, Shakhriyar","Giri, Anish",2801,2782,2018.09.07,,1/2-1/2,C26,1.4
146,"Giri, Anish","Bortnyk, Olexandr",2773,2604,2022.04.02,rapid,1-0,A41,1
147,"Ding, Liren","Giri, Anish",2791,2764,2020.07.27,,0-1,E48,7.3
148,"Giri, Anish","Cvitan, Ognjen",2764,2467,2020.04.15,blitz,0-1,B76,11
149,"Giri, Anish","Anand, Viswanathan",2769,2770,2016.08.11,,1/2-1/2,A14,6
150,"Deglmann, Ludwig","Giri, Anish",2329,2517,2009.04.10,swiss,1-0,A07,3
151,"Giri, Anish","Nepomniachtchi, Ian",2764,2784,2020.05.16,,1-0,C19,2.1
152,"Giri, Anish","Duda, Jan",2774,2756,2021.11.08,,0-1,B12,1.17
