,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
58,"So, Wesley","Mamedyarov, Shakhriyar",2788,2756,2015.04.23,,1/2-1/2,D17
59,"Mamedyarov, Shakhriyar","Matlakov, Maxim",2804,2718,2018.01.15,,1/2-1/2,D45
60,"Mamedyarov, Shakhriyar","Grischuk, Alexander",2719,2736,2009.11.17,tourn (blitz),1-0,B18
61,"Mamedyarov, Shakhriyar","Aronian, Levon",2782,2782,2021.08.03,,0-1,
62,"Mamedyarov, Shakhriyar","Sadvakasov, Darmen",2728,2596,2006.12.20,rapid,1/2-1/2,E19
63,"Le, Quang Liem","Mamedyarov, Shakhriyar",2737,2799,2017.12.12,blitz,1/2-1/2,E04
64,"Anand, Viswanathan","Mamedyarov, Shakhriyar",2801,2752,2007.11.21,,1-0,A42
65,"Mamedyarov, Shakhriyar","Ivanchuk, Vassily",2820,2710,2018.10.04,team-swiss,1/2-1/2,E12
66,"Mamedyarov, Shakhriyar","Gelfand, Boris",2760,2737,2008.03.27,,1-0,D47
67,"Matinian, Nikita","Mamedyarov, Shakhriyar",2470,2770,2021.03.06,,1-0,A05
68,"Mamedyarov, Shakhriyar","Vidit, Santosh Gujrathi",2799,2715,2017.12.30,blitz,1/2-1/2,D38
69,"Jobava, Baadur","Mamedyarov, Shakhriyar",2717,2764,2014.11.02,tourn,1/2-1/2,A70
70,"Carlsen, Magnus","Mamedyarov, Shakhriyar",2882,2764,2019.08.12,rapid,1/2-1/2,D06
71,"Mamedyarov, Shakhriyar","Ostrovskiy, Andrey",2804,2448,2018.02.07,,0-1,C54
72,"Mamedyarov, Shakhriyar","Mirzoev, Azer",2748,2510,2016.05.12,swiss,1/2-1/2,D46
73,"Svidler, Peter","Mamedyarov, Shakhriyar",2762,2750,2016.06.18,,0-1,A26
74,"Mamedyarov, Shakhriyar","Andreikin, Dmitry",2764,2722,2014.10.04,tourn,1/2-1/2,D45
75,"Thorhallsson, Throstur","Mamedyarov, Shakhriyar",2455,2709,2006.03.07,blitz,1-0,B03
76,"Nisipeanu, Liviu Dieter","Mamedyarov, Shakhriyar",2683,2743,2015.11.22,team-swiss,0-1,C54
77,"Mamedyarov, Shakhriyar","Cheparinov, Ivan",2753,2678,2013.06.07,swiss (rapid),1/2-1/2,D85
78,"Mamedyarov, Shakhriyar","Gelfand, Boris",2757,2759,2014.11.14,blitz,1/2-1/2,E60
79,"Bartel, Mateusz","Mamedyarov, Shakhriyar",2409,2493,2001.09.06,,0-1,C42
80,"Mamedyarov, Shakhriyar","Drygalov, Andrey",2770,2500,2021.04.06,,0-1,B22
81,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2764,2750,2019.08.14,blitz,1-0,C26
82,"Shankland, Sam","Mamedyarov, Shakhriyar",2709,2782,2021.08.15,blitz,1-0,
83,"Yuan, Qingyu","Mamedyarov, Shakhriyar",2373,2764,2020.06.23,,0-1,D06
84,"Pelletier, Yannick","Mamedyarov, Shakhriyar",2604,2595,2003.10.12,team-swiss,0-1,D90
85,"Mamedyarov, Shakhriyar","Aronian, Levon",2817,2765,2018.11.13,tourn (blitz),1/2-1/2,E20
86,"Mamedyarov, Shakhriyar","Malakhatko, Vadim",2699,2559,2006.05.07,,0-1,D45
87,"Mamedyarov, Shakhriyar","Novik, Maxim",2770,2434,2021.02.09,,0-1,D90
88,"Vidit, Santosh Gujrathi","Mamedyarov, Shakhriyar",2702,2817,2018.11.14,tourn (blitz),0-1,D02
89,"Mamedyarov, Shakhriyar","Harikrishna, Pentala",2646,2645,2005.09.19,,1/2-1/2,D48
90,"Mamedyarov, Shakhriyar","Dreev, Aleksey",2753,2668,2013.06.06,swiss (rapid),1/2-1/2,D02
91,"Fedoseev, Vladimir","Mamedyarov, Shakhriyar",2687,2770,2021.03.24,,1-0,C43
92,"Mamedyarov, Shakhriyar","Cuevas, Alex",2770,2268,2021.02.16,blitz,1-0,E61
93,"Svidler, Peter","Mamedyarov, Shakhriyar",2754,2719,2009.11.16,tourn (blitz),1-0,C70
94,"Mamedyarov, Shakhriyar","Ivanchuk, Vassily",2752,2787,2007.11.21,,1-0,D43
95,"Mamedyarov, Shakhriyar","Badelka, Olga",2770,2427,2020.11.06,,1-0,
96,"Mamedyarov, Shakhriyar","Svidler, Peter",,,????.??.??,,1-0,
97,"Eljanov, Pavel","Mamedyarov, Shakhriyar",2687,2752,2008.04.13,,1/2-1/2,D64
98,"Mamedyarov, Shakhriyar","Nepomniachtchi, Ian",2765,2775,2019.08.01,blitz,0-1,
99,"Tsydypov, Zhamsaran","Mamedyarov, Shakhriyar",2565,2770,2021.04.03,,0-1,C45
100,"Mamedyarov, Shakhriyar","Di Berardino, Diego Rafael",2770,2471,2021.02.02,,1-0,A13
101,"Jankiewicz, Aleksander","Mamedyarov, Shakhriyar",2571,2595,2004.03.11,swiss (blitz),0-1,D78
102,"Mamedyarov, Shakhriyar","Gasimov, Ilgar",2201,2426,2000.??.??,tourn,1/2-1/2,E17
103,"Mamedyarov, Shakhriyar","Shankland, Sam",2762,2720,2021.09.09,,1/2-1/2,
104,"Mamedyarov, Shakhriyar","Carlsen, Magnus",2757,2693,2007.06.30,tourn,1/2-1/2,D38
105,"Mamedyarov, Shakhriyar","Gelfand, Boris",2772,2733,2011.05.07,k.o.,0-1,B87
106,"Mamedyarov, Shakhriyar","Aliev, Alijon",2479,,2001.??.??,tourn,1-0,A87
107,"Mamedyarov, Shakhriyar","Dolmatov, Sergey",2201,2615,2000.04.29,,1-0,A48
108,"Beerdsen, Thomas","Mamedyarov, Shakhriyar",2453,2770,2021.04.03,,0-1,B12
109,"Mamedyarov, Shakhriyar","Sanikidze, Tornike",2721,2600,2009.10.26,team-swiss,1/2-1/2,D80
110,"Mamedyarov, Shakhriyar","Carlsen, Magnus",2761,2881,2021.04.26,,1/2-1/2,
111,"Mamedyarov, Shakhriyar","Aronian, Levon",2763,2801,2010.11.17,,0-1,D11
112,"Najer, Evgeniy","Mamedyarov, Shakhriyar",2682,2772,2017.05.05,,0-1,E60
113,"Mamedyarov, Shakhriyar","Sadykov, Ranil",2770,2345,2021.04.20,,1-0,C25
114,"Mamedyarov, Shakhriyar","Shankland, Sam",2782,2709,2021.08.14,blitz,1-0,
115,"Mamedyarov, Shakhriyar","Duda, Jan Krzysztof",2762,2756,????.??.??,,1/2-1/2,
116,"Mchedlishvili, Mikheil","Mamedyarov, Shakhriyar",2656,2726,2012.07.15,team-tourn,1/2-1/2,D79
117,"Mamedyarov, Shakhriyar","Corrales Jimenez, Fidel",2770,2532,2021.04.06,,1-0,B22
118,"Mamedyarov, Shakhriyar","Cusmano, Antonello",2770,1472,2021.03.26,,1-0,
119,"Fedoseev, Vladimir","Mamedyarov, Shakhriyar",2674,2770,2020.10.27,swiss (blitz),0-1,C82
120,"Mamedyarov, Shakhriyar","Giri, Anish",2801,2782,2018.09.07,,1/2-1/2,C26
121,"Mamedyarov, Shakhriyar","Maznitsin, Andrei",2301,,2000.09.11,,1-0,D02
122,"Mamedyarov, Shakhriyar","Andreikin, Dmitry",2799,2712,2017.12.12,tourn (blitz),1/2-1/2,D15
123,"Kuzubov, Yuriy","Mamedyarov, Shakhriyar",2560,2655,2005.??.??,,0-1,D70
124,"Wang, Yue","Mamedyarov, Shakhriyar",2718,2747,2016.03.01,tourn (blitz),0-1,E12
125,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2657,2599,2005.02.17,swiss,1-0,A29
126,"Mamedyarov, Shakhriyar","Kasparov, Garry",2782,2812,2021.07.10,,1-0,
127,"Mamedyarov, Shakhriyar","Frolyanov, Dmitry",2770,2542,2021.02.02,,0-1,E04
128,"Mamedyarov, Shakhriyar","Nepomniachtchi, Ian",2743,2730,2014.06.20,swiss (blitz),0-1,A45
129,"Mamedyarov, Shakhriyar","Khismatullin, Denis Rimovich",2748,2654,2015.12.24,swiss,1-0,E12
130,"Mamedyarov, Shakhriyar","Grischuk, Alexander",2799,2772,2017.12.11,swiss (rapid),1/2-1/2,D24
131,"Mamedyarov, Shakhriyar","Shirov, Alexei",2728,2720,2006.10.12,team,1/2-1/2,D12
132,"Ivanchuk, Vassily","Mamedyarov, Shakhriyar",2786,2731,2008.11.08,tourn (blitz),0-1,C91
133,"Mamedyarov, Shakhriyar","Navara, David",2791,2726,2017.11.01,team-swiss,1-0,D28
134,"Shuvalov, Evgeniy","Mamedyarov, Shakhriyar",2182,2770,2020.11.24,,0-1,A04
135,"Svidler, Peter","Mamedyarov, Shakhriyar",2741,2721,2009.10.07,team-swiss,1-0,B07
136,"Aronian, Levon","Mamedyarov, Shakhriyar",2780,2820,2018.09.28,team,0-1,C80
137,"Svidler, Peter","Mamedyarov, Shakhriyar",2714,2770,2021.05.23,,1/2-1/2,
138,"Mamedov, Rauf","Mamedyarov, Shakhriyar",2656,2767,2021.12.20,rapid,1/2-1/2,B01
139,"Mamedyarov, Shakhriyar","Argandona Riveiro, Inigo",2733,2387,2011.12.29,k.o.,1/2-1/2,A84
140,"Mamedyarov, Shakhriyar","Yuffa, Daniil",2799,2522,2017.12.23,schev (rapid),1-0,D11
141,"Mamedyarov, Shakhriyar","Solak, Dragan",2743,2628,2015.11.16,,1/2-1/2,B12
142,"Bayramov, Vugar","Mamedyarov, Shakhriyar",2281,2479,2001.??.??,tourn,0-1,C47
143,"Mamedyarov, Shakhriyar","Nakamura, Hikaru",2776,2750,2022.04.01,,1/2-1/2,D37
144,"Mamedyarov, Shakhriyar","Dominguez Perez, Leinier",2719,2719,2009.11.17,tourn (blitz),1/2-1/2,D27
145,"Andreikin, Dmitry","Mamedyarov, Shakhriyar",2709,2757,2014.03.26,tourn,1/2-1/2,E04
146,"Mamedyarov, Shakhriyar","Sadeghi, Adel",2201,2246,2000.05.04,tourn,1-0,A80
147,"Caruana, Fabiano","Mamedyarov, Shakhriyar",2808,2800,2017.06.24,tourn (rapid),1-0,C77
148,"Shanava, Konstantine","Mamedyarov, Shakhriyar",2269,2201,2000.??.??,tourn,0-1,C54
149,"Wang, Jue","Mamedyarov, Shakhriyar",2689,2752,2008.05.05,,1/2-1/2,E32
150,"Mamedyarov, Shakhriyar","Alekseenko, Kirill",2767,2702,2021.12.30,blitz,1-0,D20
151,"Nepomniachtchi, Ian","Mamedyarov, Shakhriyar",2792,2782,2021.07.11,,0-1,
152,"Shirazi, Kamran","Mamedyarov, Shakhriyar",2394,2756,2010.10.29,k.o. (rapid),1/2-1/2,C47
153,"Ivanchuk, Vassily","Mamedyarov, Shakhriyar",2787,2752,2007.11.22,,1-0,C76
154,"Mamedyarov, Shakhriyar","Harikrishnan, M.",2764,2429,2020.08.04,,1-0,C25
155,"Mamedyarov, Shakhriyar","Sitnikov, S.",2493,2182,2001.09.02,,1-0,D24
156,"Mamedyarov, Shakhriyar","Yu, Yangyi",2817,2764,2019.02.12,team-swiss (rapid),1/2-1/2,C42
157,"Vachier Lagrave, Maxime","Mamedyarov, Shakhriyar",2780,2772,2019.12.27,rapid,1-0,B11
158,"Mamedyarov, Shakhriyar","Petkevich, Jusefs",2756,2365,2015.03.07,swiss,1-0,C26
159,"Mamedyarov, Shakhriyar","Artemiev, Victor",2764,2716,2020.06.04,blitz,0-1,D79
