,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
2345,"Morozevich, Alexander","Anand, Viswanathan",2678,2753,2003.03.17,rapid,1-0,B13,3
2346,"Anand, Viswanathan","Kasparov, Garry",2765,2795,1997.02.04,tourn,0-1,B85,1
2347,"Ljubojevic, Ljubomir","Anand, Viswanathan",2565,2770,1998.03.14,tourn (rapid),1-0,B70,2
2348,"Aronian, Levon","Anand, Viswanathan",2815,2775,2012.12.03,swiss,1/2-1/2,D10,3
2349,"Kamsky, Gata","Anand, Viswanathan",2645,2725,1993.??.??,,1/2-1/2,B23,10
2350,"Agrest, Evgenij","Anand, Viswanathan",2529,2794,2001.08.18,rapid,0-1,A28,4
2351,"Le, Quang Liem","Anand, Viswanathan",2712,2785,2014.06.20,swiss (blitz),1-0,A09,20
2352,"Karjakin, Sergey","Anand, Viswanathan",2562,2766,2003.11.27,tourn (rapid),1/2-1/2,B80,4
2353,"Mamedyarov, Shakhriyar","Anand, Viswanathan",2765,2764,2019.07.31,blitz,1-0,,11.1
2354,"Anand, Viswanathan","Nielsen, Peter Heine",2792,2644,2006.03.28,tourn (rapid),1-0,D58,9
2355,"Anand, Viswanathan","Valverde Caballero, Rafael",2801,1914,2007.??.??,,1-0,A39,?
2356,"Anand, Viswanathan","Ivanchuk, Vassily",2715,2710,1994.03.27,,1/2-1/2,C92,2
2357,"Anand, Viswanathan","Caruana, Fabiano",2774,2819,2019.04.24,tourn,1/2-1/2,C67,5
2358,"Nepomniachtchi, Ian","Anand, Viswanathan",2774,2756,2019.08.17,,0-1,A21,1.5
2359,"Anand, Viswanathan","Duda, Jan Krzysztof",2773,2738,2019.01.25,,1/2-1/2,C42,11.3
2360,"Anand, Viswanathan","Kamsky, Gata",2801,2714,2007.11.21,,0-1,B42,10
2361,"Kramnik, Vladimir","Anand, Viswanathan",2787,2770,2014.03.26,tourn,1/2-1/2,E05,11
2362,"Vachier Lagrave, Maxime","Anand, Viswanathan",2765,2791,2015.04.18,,1/2-1/2,D38,2
2363,"Anand, Viswanathan","L'Ami, Erwin",2776,2605,2017.04.30,team-tourn,1-0,C64,14.4
2364,"Dreev, Aleksey","Anand, Viswanathan",2625,2635,1991.??.??,,1-0,E12,3
2365,"Skomorokhin, Roman","Anand, Viswanathan",2364,2785,2014.10.19,,0-1,E14,1.2
2366,"Talu, Mihai","Anand, Viswanathan",,,1989.??.??,,0-1,A30,?
2367,"Anand, Viswanathan","Ninov, Kiril",2505,2425,1987.??.??,swiss,1-0,B42,?
2368,"Anand, Viswanathan","Kamsky, Gata",2720,2695,1994.??.??,match,1/2-1/2,C89,1
2369,"Lautier, Joel","Anand, Viswanathan",2630,2725,1996.??.??,,1-0,A40,2
2370,"Caruana, Fabiano","Anand, Viswanathan",2819,2764,2019.08.01,blitz,0-1,,23.2
2371,"Anand, Viswanathan","Karjakin, Sergey",2773,2753,2018.11.14,tourn (blitz),1/2-1/2,B19,12
2372,"Somani, Sagar","Anand, Viswanathan",,2405,1986.??.??,game,0-1,B85,?
2373,"Anand, Viswanathan","Kramnik, Vladimir",2785,2753,2005.05.19,tourn,1-0,C42,7
2374,"Leko, Peter","Anand, Viswanathan",2670,2770,1998.05.13,,1/2-1/2,B18,3
2375,"Grischuk, Alexander","Anand, Viswanathan",2766,2768,2018.08.15,tourn (rapid),1/2-1/2,D37,15
2376,"Anand, Viswanathan","Gelfand, Boris",2791,2727,2012.05.28,match,1/2-1/2,B30,12
2377,"Anand, Viswanathan","Butt, Sabih Alam",2505,2330,1987.??.??,swiss,1-0,B81,?
2378,"Milnes, Anthony C P","Anand, Viswanathan",,,1990.07.11,,0-1,A41,11
2379,"Vitiugov, Nikita","Anand, Viswanathan",2735,2776,2018.04.04,,1/2-1/2,B12,4
2380,"Anand, Viswanathan","Adams, Michael",2799,2726,2008.01.15,tourn,1/2-1/2,E15,4
2381,"Aronian, Levon","Anand, Viswanathan",2737,2798,2008.09.04,tourn,1/2-1/2,D16,3
2382,"Anand, Viswanathan","Kamsky, Gata",2715,2710,1995.??.??,,1-0,C92,9
2383,"Anand, Viswanathan","Bij de Weg, Minze",2635,,1991.09.01,simul,1-0,D53,?
2384,"Anand, Viswanathan","Timman, Jan H",2690,2665,1992.??.??,tourn,1-0,D41,?
2385,"Piket, Jeroen","Anand, Viswanathan",2590,2710,1993.??.??,,0-1,D18,1
2386,"Radjabov, Teimour","Anand, Viswanathan",2745,2783,2013.05.15,tourn,0-1,E04,7
2387,"Anand, Viswanathan","Bryson, Douglas Marshall",2285,2245,1984.11.30,,1/2-1/2,C88,11
2388,"Ponomariov, Ruslan","Anand, Viswanathan",2739,2788,2009.11.08,tourn,1/2-1/2,D76,4
2389,"Gurevich, Mikhail","Anand, Viswanathan",2650,2635,1991.??.??,,1-0,A56,1
2390,"Anand, Viswanathan","Kramnik, Vladimir",2794,2797,2001.06.30,match,1/2-1/2,B33,7
2391,"Giri, Anish","Anand, Viswanathan",2755,2776,2016.09.25,tourn (blitz),1-0,B90,7
2392,"Tian Yeoh, Li","Anand, Viswanathan",2478,2783,2017.09.03,k.o.,0-1,B22,1.1
2393,"Anand, Viswanathan","Polgar, Judit",2725,2675,1996.05.27,tourn,1/2-1/2,B81,6
2394,"Vallejo Pons, Francisco","Anand, Viswanathan",2662,2766,2003.11.27,tourn (rapid),1/2-1/2,B70,2
2395,"Anand, Viswanathan","Hess, Christian",2804,,2010.11.27,simul,1/2-1/2,E09,?
2396,"Anand, Viswanathan","Vallejo Pons, Francisco",2786,2686,2005.03.21,,1-0,B90,3
2397,"Anand, Viswanathan","McShane, Luke J",2775,2713,2012.12.02,swiss,1/2-1/2,D10,2
2398,"Anand, Viswanathan","Sokolov, Ivan",2515,2580,1989.??.??,,1-0,C73,9
2399,"Anand, Viswanathan","Leko, Peter",2794,2730,2001.06.09,,1/2-1/2,C42,1.5
2400,"Anand, Viswanathan","Kamsky, Gata",2715,2710,1995.??.??,match,1-0,B84,11
2401,"Anand, Viswanathan","Carlsen, Magnus",2798,2775,2008.08.01,tourn (rapid),1/2-1/2,B78,1
2402,"Anand, Viswanathan","Adams, Michael",2725,2660,1996.01.16,,1-0,E17,3
2403,"Anand, Viswanathan","J Wicker, Kevin",,,1987.??.??,,1-0,C16,1
2404,"Karpov, Anatoly","Anand, Viswanathan",2710,2781,1999.07.01,,1/2-1/2,E15,8
2405,"Ivlev, Aleksey","Anand, Viswanathan",2300,2767,2018.02.14,,0-1,E12,6
2406,"Anand, Viswanathan","Timman, Jan H",2780,2645,1999.??.??,,1-0,C67,7
2407,"Anand, Viswanathan","Tregubov, Pavel V",2762,2620,2000.09.04,tourn,1/2-1/2,B32,4
2408,"Anand, Viswanathan","Kramnik, Vladimir",2769,2758,2000.01.19,tourn,1/2-1/2,B66,4
2409,"Anand, Viswanathan","Hess, Robert",2771,2574,2018.10.21,swiss,1/2-1/2,C16,2
2410,"Nepomniachtchi, Ian","Anand, Viswanathan",2784,2753,2020.07.26,,1-0,C24,6.2
2411,"Anand, Viswanathan","Lautier, Joel",2781,2596,1999.03.23,tourn (rapid),1/2-1/2,B33,7
2412,"Anand, Viswanathan","Moreno Carnero, Javier",2755,2503,2002.11.01,k.o. (rapid),1/2-1/2,C74,1
2413,"Karjakin, Sergey","Anand, Viswanathan",2706,2791,2009.03.21,,0-1,B12,7
2414,"Anand, Viswanathan","Piket, Jeroen",2769,2633,2000.03.23,tourn (rapid),1-0,C95,7
