,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
62,"Grachev, Boris","Grischuk, Alexander",2669,2733,2009.08.02,swiss (rapid),1-0,D25
63,"Nepomniachtchi, Ian","Grischuk, Alexander",2708,2764,2013.04.13,team-swiss,0-1,C48
64,"Grischuk, Alexander","Seirawan, Yasser",2702,2631,2002.06.01,k.o. (rapid),1-0,B12
65,"Grischuk, Alexander","Kramnik, Vladimir",,,????.??.??,,1-0,
66,"Grischuk, Alexander","Wang, Hao",2764,2737,2012.12.17,tourn (blitz),1-0,A16
67,"Grischuk, Alexander","Jobava, Baadur",2776,2603,2021.05.13,,0-1,
68,"Grischuk, Alexander","Amin, Bassem",2777,2667,2020.03.02,,1/2-1/2,E68
69,"Grischuk, Alexander","Khalifman, Alexander",2671,2688,2002.01.26,tourn,1-0,B85
70,"Smirin, Ilia","Grischuk, Alexander",2674,2751,2016.11.10,swiss,1/2-1/2,B34
71,"Grischuk, Alexander","Gaprindashvili, Valeriane",2490,2405,1999.01.24,,1/2-1/2,C10
72,"Grischuk, Alexander","Gabriel, Christian",2549,2578,1999.??.??,,1/2-1/2,C95
73,"Vachier Lagrave, Maxime","Grischuk, Alexander",2795,2750,2017.10.23,k.o. (blitz),0-1,A45
74,"Ragger, Markus","Grischuk, Alexander",2672,2785,2013.11.11,team-swiss,0-1,D85
75,"Grischuk, Alexander","Karjakin, Sergey",2764,2775,2012.12.29,tourn (rapid),1-0,C77
76,"Grischuk, Alexander","Carlsen, Magnus",2754,2857,2016.08.23,match (blitz),0-1,D37
77,"Sokolov, Andrei","Grischuk, Alexander",2569,2712,2003.05.07,team,0-1,C78
78,"Grischuk, Alexander","So, Wesley",2766,2778,2018.06.13,blitz,0-1,C65
79,"Tang, Andrew","Grischuk, Alexander",2521,2777,2020.02.10,,0-1,D02
80,"Grischuk, Alexander","Aronian, Levon",2736,2781,2010.01.11,team-tourn,1/2-1/2,D15
81,"Grischuk, Alexander","Sadzikowski, Daniel",2742,2538,2017.01.15,team-tourn,1/2-1/2,B90
82,"Grischuk, Alexander","Caruana, Fabiano",2775,2819,2019.06.10,,0-1,
83,"Mamedyarov, Shakhriyar","Grischuk, Alexander",2801,2766,2018.08.11,tourn (rapid),1/2-1/2,D74
84,"Grischuk, Alexander","Gelfand, Boris",2794,2747,2015.04.28,team-tourn,1/2-1/2,A33
85,"Grischuk, Alexander","Duda, Jan Krzysztof",2777,2757,2020.10.25,schev,1/2-1/2,D11
86,"Basil, Alshouha","Grischuk, Alexander",2135,2795,2014.08.02,team-swiss,0-1,B50
87,"Grischuk, Alexander","Ivanchuk, Vassily",2736,2739,2009.11.17,tourn (blitz),1-0,E15
88,"Grischuk, Alexander","Caruana, Fabiano",2774,2796,2015.10.22,team-swiss,1-0,C67
89,"Jobava, Baadur","Grischuk, Alexander",2694,2786,2013.10.26,team-swiss,0-1,B30
90,"Grischuk, Alexander","Potapov, Alexander",2490,2475,1998.08.07,,1-0,C78
91,"Grischuk, Alexander","Andreikin, Dmitry",2776,2724,2021.06.23,k.o.,0-1,C02
92,"Grischuk, Alexander","Babula, Vlastimil",2710,2584,2006.10.14,team,1/2-1/2,E11
93,"Ivanchuk, Vassily","Grischuk, Alexander",2731,2719,2006.06.19,tourn,1/2-1/2,C88
94,"Giri, Anish","Grischuk, Alexander",2775,2761,2017.07.15,swiss,1/2-1/2,A11
95,"Korotylev, Alexey","Grischuk, Alexander",2600,2715,2007.11.21,,1/2-1/2,D27
96,"Grischuk, Alexander","Helgi Ass, Gretarsson",,,2000.04.08,,1-0,C36
97,"Grischuk, Alexander","Giri, Anish",2776,2780,2021.05.23,,0-1,
98,"Oparin, Grigoriy","Grischuk, Alexander",2652,2777,2020.12.24,,1-0,A14
99,"Mueller, Jens","Grischuk, Alexander",2136,2720,2005.08.13,swiss (rapid),0-1,E04
100,"Grischuk, Alexander","Yuffa, Daniil",2752,2503,2016.05.26,swiss (rapid),1/2-1/2,B04
101,"Nepomniachtchi, Ian","Grischuk, Alexander",2730,2752,2011.12.03,k.o. (rapid),0-1,B12
102,"Guseinov, Gadir","Grischuk, Alexander",2557,2732,2003.10.17,team-swiss,1/2-1/2,B97
103,"Grischuk, Alexander","Svidler, Peter",2777,2723,2020.10.25,schev,1-0,B12
104,"Manca, Federico","Grischuk, Alexander",2417,2726,2007.10.03,,0-1,C45
105,"Reshetnikov, Alexey","Grischuk, Alexander",2498,2789,2014.09.06,tourn (blitz),0-1,B98
106,"Popov, Valerij","Grischuk, Alexander",2532,2771,2018.12.26,rapid,0-1,E97
107,"Grischuk, Alexander","Kramnik, Vladimir",2746,2781,2011.08.13,tourn,1/2-1/2,D39
108,"Grischuk, Alexander","Navara, David",2775,2676,2021.09.08,,0-1,
109,"Grischuk, Alexander","Sargissian, Gabriel",2671,2515,2002.02.09,swiss,1-0,B12
110,"Grischuk, Alexander","Anand, Viswanathan",2775,2767,2019.06.13,,1/2-1/2,
111,"Aronian, Levon","Grischuk, Alexander",2772,2764,2021.12.29,blitz,1-0,C11
112,"Rublevsky, Sergei","Grischuk, Alexander",2655,2719,2004.03.25,tourn,1/2-1/2,B52
113,"Nakamura, Hikaru","Grischuk, Alexander",2735,2733,2009.10.10,team-swiss,1/2-1/2,C45
114,"Svidler, Peter","Grischuk, Alexander",2722,2771,2010.11.18,tourn (blitz),1-0,B92
115,"Vachier Lagrave, Maxime","Grischuk, Alexander",2767,2777,2020.03.21,,1/2-1/2,C67
116,"Grischuk, Alexander","Harikrishna, Pentala",2772,2744,2017.12.12,tourn (blitz),0-1,B48
117,"Grischuk, Alexander","Cebalo, Miso",2549,2453,1999.07.25,,1-0,B76
118,"Liu, Qingnan","Grischuk, Alexander",2502,2761,2017.07.29,team-tourn,0-1,B51
119,"Grischuk, Alexander","Mamedyarov, Shakhriyar",2778,2782,2021.07.08,,1/2-1/2,
120,"Svidler, Peter","Grischuk, Alexander",2749,2763,2012.07.09,tourn (blitz),1-0,A00
121,"Zhu, Chen","Grischuk, Alexander",2461,2795,2014.08.03,team-swiss,0-1,B07
122,"Grischuk, Alexander","Gurevich, Mikhail",2605,2665,2000.??.??,,0-1,C02
123,"Svidler, Peter","Grischuk, Alexander",2723,2777,2020.10.25,schev,1/2-1/2,B52
124,"Agdestein, Simen","Grischuk, Alexander",2602,2737,2016.12.26,rapid,0-1,A30
125,"Harikrishna, Pentala","Grischuk, Alexander",2680,2719,2006.06.20,,0-1,E21
126,"Belov, Vladimir","Grischuk, Alexander",2543,2719,2004.04.17,tourn (blitz),1/2-1/2,C89
