,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
61,"Giri, Anish","Karjakin, Sergey",2714,2763,2011.12.15,swiss (rapid),1/2-1/2,A60
62,"Karjakin, Sergey","Duda, Jan Krzysztof",2773,2737,2018.09.06,,1-0,B29
63,"Karjakin, Sergey","Mamedyarov, Shakhriyar",2743,2767,2021.12.19,rapid,1-0,C53
64,"Karjakin, Sergey","Kramnik, Vladimir",2753,2787,2018.01.26,tourn,1-0,A14
65,"Grischuk, Alexander","Karjakin, Sergey",2767,2763,2018.03.22,tourn,1/2-1/2,E00
66,"Karjakin, Sergey","Drozdovskij, Yuri",2547,2447,2003.??.??,tourn,1/2-1/2,C60
67,"Karjakin, Sergey","Kurochkin, Valery",,,2001.??.??,tourn,1-0,B42
68,"Karjakin, Sergey","Vachier Lagrave, Maxime",2773,2792,2019.05.12,blitz,1-0,
69,"Karjakin, Sergey","So, Wesley",2788,2658,2011.09.02,k.o.,1-0,B12
70,"Kuzmin, Gennadi P","Karjakin, Sergey",2520,2562,2003.11.08,,1/2-1/2,C47
71,"Howell, David W L","Karjakin, Sergey",2251,2556,2003.06.28,match,1/2-1/2,B52
72,"Karjakin, Sergey","Artemiev, Vladislav",2754,2731,2019.11.09,blitz,1/2-1/2,B12
73,"Karjakin, Sergey","Grachev, Boris",2752,2612,2020.08.04,,0-1,B40
74,"Dubov, Daniil","Karjakin, Sergey",2699,2752,2020.05.26,rapid,0-1,D55
75,"Nakamura, Hikaru","Karjakin, Sergey",,,2015.??.??,swiss,1-0,A33
76,"Karjakin, Sergey","Svidler, Peter",2753,2727,2015.10.04,k.o.,1-0,D06
77,"Kasimdzhanov, Rustam","Karjakin, Sergey",,,????.??.??,,1/2-1/2,
78,"Tukhaev, Adam","Karjakin, Sergey",2245,2269,2001.??.??,tourn,0-1,A43
79,"Anand, Viswanathan","Karjakin, Sergey",2772,2780,2013.01.23,tourn,1/2-1/2,E12
80,"Kalugin, Sergey G","Karjakin, Sergey",2439,2338,2001.08.04,tourn,1/2-1/2,B22
81,"Vallejo Pons, Francisco","Karjakin, Sergey",2629,2547,2003.03.29,tourn,1-0,A33
82,"Karjakin, Sergey","Anand, Viswanathan",,,????.??.??,,1/2-1/2,
83,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2764,2750,2019.08.14,blitz,1-0,C26
84,"Karjakin, Sergey","Kobalia, Mikhail",2743,2596,2021.12.30,blitz,0-1,A01
85,"Guidarelli, Laurent","Karjakin, Sergey",2462,2660,2006.04.02,,0-1,B90
86,"Karjakin, Sergey","Duda, Jan Krzysztof",2773,2737,2018.09.06,,0-1,D02
87,"Karjakin, Sergey","Vidit, Santosh Gujrathi",2753,2702,2018.11.14,blitz,0-1,A01
88,"Karjakin, Sergey","Bacrot, Etienne",2717,2721,2009.08.13,tourn,1-0,C88
89,"Karjakin, Sergey","Inarkiev, Ernesto",2748,2693,2019.08.03,,1/2-1/2,
90,"Karjakin, Sergey","Acs, Peter",2547,2623,2003.01.16,tourn,1/2-1/2,B67
91,"Moiseenko, Alexander","Karjakin, Sergey",2653,2576,2004.10.12,swiss (rapid),1-0,D49
92,"Ipatov, Alexander","Karjakin, Sergey",2613,2771,2014.06.19,swiss (blitz),0-1,A01
93,"Karjakin, Sergey","Kamsky, Gata",2706,2725,2009.03.22,tourn (rapid),1-0,C95
94,"Radjabov, Teimour","Karjakin, Sergey",2713,2772,2014.04.26,tourn,1/2-1/2,C54
95,"Karjakin, Sergey","Wei, Yi",2753,2724,2015.07.29,,1-0,D11
96,"Harikrishna, Pentala","Karjakin, Sergey",2724,2754,2019.12.13,,1/2-1/2,E06
97,"Milov, Vadim","Karjakin, Sergey",2653,2635,2005.06.21,swiss,1/2-1/2,D27
98,"Ni, Hua","Karjakin, Sergey",2629,2645,2005.07.12,tourn,0-1,C67
99,"Paehtz, Elisabeth","Karjakin, Sergey",2385,2580,2004.06.02,tourn (blitz),0-1,B97
100,"Karjakin, Sergey","Ivanchuk, Vassily",2776,2779,2011.03.22,tourn (rapid),1/2-1/2,C18
101,"Karjakin, Sergey","Predke, Alexandr",2765,2642,2021.08.16,,0-1,
102,"Karjakin, Sergey","Duda, Jan Krzysztof",2752,2753,2020.10.25,,1-0,B90
103,"Kramnik, Vladimir","Karjakin, Sergey",2800,2763,2018.03.11,tourn,1/2-1/2,C67
104,"Karjakin, Sergey","Ding, Liren",2752,2791,2020.05.21,,1/2-1/2,C67
105,"Karjakin, Sergey","Ponomariov, Ruslan",2756,2731,2013.12.17,swiss (rapid),1-0,C95
106,"Karjakin, Sergey","Dubov, Daniil",2748,2700,2019.06.10,,1/2-1/2,D41
107,"Jakovenko, Dmitry","Karjakin, Sergey",2722,2785,2012.08.09,,1/2-1/2,B92
108,"Karjakin, Sergey","Bortnyk, Olexandr",2752,2598,2020.12.19,,0-1,B04
109,"Vidit, Santosh Gujrathi","Karjakin, Sergey",2726,2743,2021.10.12,team,1/2-1/2,E05
110,"Wang, Hao","Karjakin, Sergey",2709,2760,2017.12.30,blitz,1/2-1/2,C67
111,"Karjakin, Sergey","Morozevich, Alexander",2782,2760,2013.06.12,tourn (blitz),1/2-1/2,B72
112,"Karjakin, Sergey","Miroshnichenko, Yuri",2562,2571,2003.11.09,,1/2-1/2,B57
113,"Bologan, Victor","Karjakin, Sergey",2648,2769,2016.09.04,swiss,1/2-1/2,C67
114,"Karjakin, Sergey","Miton, Kamil",2661,2646,2006.04.27,,1/2-1/2,B42
115,"Meier, Georg","Karjakin, Sergey",2630,2783,2017.05.24,k.o. (blitz),1/2-1/2,D45
116,"Karjakin, Sergey","Caruana, Fabiano",,,2016.03.28,swiss,1-0,B67
117,"Topalov, Veselin","Karjakin, Sergey",2785,2766,2014.03.26,tourn,1/2-1/2,A30
118,"Duda, Jan Krzysztof","Karjakin, Sergey",2774,2709,2020.11.24,tourn,0-1,
119,"Rapport, Richard","Karjakin, Sergey",2702,2785,2017.01.15,tourn,1/2-1/2,A01
120,"Karjakin, Sergey","Bareev, Evgeny",2723,2634,2009.11.16,tourn (blitz),1-0,B12
121,"Karjakin, Sergey","Harikrishna, Pentala",2759,2706,2014.01.12,tourn,1/2-1/2,D37
122,"Karjakin, Sergey","Eljanov, Pavel",2760,2742,2010.11.18,,1/2-1/2,C41
123,"Karjakin, Sergey","Jones, Gawain C B",2777,2664,2014.09.15,tourn,1/2-1/2,B09
124,"Karjakin, Sergey","Onischuk, Alexander",2747,2688,2010.??.??,,1-0,C88
125,"Karjakin, Sergey","Khanin, Semen",2752,2482,2020.08.25,,1-0,C53
126,"Inarkiev, Ernesto","Karjakin, Sergey",2688,2770,2014.11.13,tourn (blitz),0-1,B90
127,"Duda, Jan Krzysztof","Karjakin, Sergey",2729,2757,2021.08.05,,1-0,
128,"Radjabov, Teimour","Karjakin, Sergey",2748,2778,2018.04.27,,1/2-1/2,D47
129,"Kovalev, Vladislav","Karjakin, Sergey",2661,2760,2019.10.21,swiss,1/2-1/2,C67
130,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2657,2599,2005.02.17,swiss,1-0,A29
131,"Grischuk, Alexander","Karjakin, Sergey",2760,2739,2010.05.28,k.o. (rapid),0-1,D13
132,"Nepomniachtchi, Ian","Karjakin, Sergey",2778,2709,2020.11.23,tourn,1/2-1/2,
133,"Karjakin, Sergey","Meier, Georg",2783,2630,2017.05.24,k.o. (blitz),1-0,C10
134,"Wei, Yi","Karjakin, Sergey",2706,2785,2017.01.27,,1-0,C65
135,"Karjakin, Sergey","Radjabov, Teimour",2672,2729,2006.11.02,k.o. (rapid),1/2-1/2,B33
136,"Karjakin, Sergey","Carlsen, Magnus",2743,2865,2022.01.26,,1/2-1/2,C67
137,"Karjakin, Sergey","Svidler, Peter",2770,2743,2014.12.06,tourn,1/2-1/2,C88
138,"Karjakin, Sergey","Topalov, Veselin",2781,2749,2017.06.25,tourn (rapid),1/2-1/2,B70
139,"Popovic, Dusan","Karjakin, Sergey",2517,2760,2018.10.01,team-swiss,1/2-1/2,B92
140,"Karjakin, Sergey","Belous, Vladimir",2772,2554,2013.09.01,tourn (blitz),1-0,B31
141,"Karjakin, Sergey","Karpov, Anatoly",2527,2688,2002.11.29,rapid,1/2-1/2,C42
142,"Karjakin, Sergey","Topalov, Veselin",2766,2785,2014.03.17,tourn,1/2-1/2,A29
143,"Karjakin, Sergey","Gelfand, Boris",2723,2758,2009.12.06,k.o.,0-1,C55
144,"Karjakin, Sergey","Fressinet, Laurent",2672,2640,2006.10.28,,1/2-1/2,C83
145,"Karjakin, Sergey","Radjabov, Teimour",2760,2744,2010.11.18,tourn (blitz),1/2-1/2,B31
146,"Karjakin, Sergey","Caruana, Fabiano",2779,2804,2016.06.04,tourn,1/2-1/2,C83
147,"Karjakin, Sergey","Wang, Hao",2776,2752,2013.07.05,tourn,1-0,B09
148,"Karjakin, Sergey","Smeets, Jan",2720,2657,2010.01.22,tourn,1/2-1/2,C42
149,"Karjakin, Sergey","Grischuk, Alexander",2781,2761,2017.06.22,tourn (rapid),0-1,C07
150,"Karjakin, Sergey","Caruana, Fabiano",2760,2794,2016.03.28,,1/2-1/2,B67
151,"Magem Badals, Jordi","Karjakin, Sergey",2589,2747,2010.10.03,team-swiss,1/2-1/2,B55
152,"Karjakin, Sergey","Van Wely, Loek",2785,2695,2017.01.16,tourn,1-0,B09
153,"Faqiry, Ramat","Karjakin, Sergey",1977,2747,2010.08.07,swiss (rapid),0-1,D13
154,"Karjakin, Sergey","Salinas Herrera, Pablo",2752,2514,2020.09.15,,1-0,B90
155,"Radjabov, Teimour","Karjakin, Sergey",2756,2753,2019.04.04,tourn,1/2-1/2,D30
156,"Sasikiran, Krishnan","Karjakin, Sergey",2690,2686,2007.06.27,tourn,1/2-1/2,D43
157,"Grischuk, Alexander","Karjakin, Sergey",2766,2782,2018.06.20,tourn (rapid),1/2-1/2,A13
158,"Karjakin, Sergey","Adhiban, Baskaran",2785,2653,2017.01.19,tourn,0-1,C11
159,"Karjakin, Sergey","Sasikiran, Krishnan",2743,2640,2021.10.11,team,1-0,B90
160,Harsha Bharathakoti,"Karjakin, Sergey",2509,2752,2020.10.13,swiss (blitz),1/2-1/2,E20
161,"Motylev, Alexander","Karjakin, Sergey",2690,2772,2011.10.13,tourn,1/2-1/2,C89
162,"Karjakin, Sergey","Aronian, Levon",2773,2799,2017.08.18,tourn (blitz),1/2-1/2,C77
163,"Karjakin, Sergey","Tkachiev, Vladislav",2560,2654,2003.07.28,swiss,1-0,C78
164,"Agdestein, Simen","Karjakin, Sergey",2606,2762,2015.10.13,swiss (blitz),0-1,D45
165,"Karjakin, Sergey","Ding, Liren",2750,2805,2019.08.18,,1/2-1/2,C89
166,"Karjakin, Sergey","Mamedov, Rauf",2760,2660,2010.11.18,,0-1,B31
167,"Matlakov, Maxim","Karjakin, Sergey",2700,2753,2018.12.30,swiss (blitz),1/2-1/2,E00
168,"Harikrishna, Pentala","Karjakin, Sergey",2752,2769,2016.09.12,team-swiss,1-0,C54
169,"Karjakin, Sergey","Yu, Yangyi",2760,2751,2017.12.30,blitz,1/2-1/2,A01
170,"Karjakin, Sergey","Nakamura, Hikaru",2753,2799,2015.05.14,tourn,1/2-1/2,B76
171,"Nakamura, Hikaru","Karjakin, Sergey",2784,2782,2013.06.15,,1-0,D85
172,"Karjakin, Sergey","Oparin, Grigoriy",2757,2654,2021.07.19,,1/2-1/2,
173,"Nepomniachtchi, Ian","Karjakin, Sergey",2703,2786,2013.02.17,,0-1,A22
174,"Anand, Viswanathan","Karjakin, Sergey",2783,2767,2013.05.14,tourn,1/2-1/2,C65
175,"Morozevich, Alexander","Karjakin, Sergey",2724,2770,2014.12.07,tourn,1/2-1/2,C47
176,"Dimakiling, Oliver","Karjakin, Sergey",2409,2752,2020.06.09,,0-1,A34
177,"Zinchenko, Yaroslav","Karjakin, Sergey",2229,2269,2001.??.??,tourn,1/2-1/2,B22
178,"Nakamura, Hikaru","Karjakin, Sergey",2786,2783,2017.12.16,k.o. (blitz),1-0,A01
179,"Karjakin, Sergey","Svidler, Peter",2773,2749,2017.08.02,tourn,1-0,C54
180,"Karjakin, Sergey","Rakhmangulov, Andrei",2206,2435,2000.??.??,swiss,0-1,B09
181,"Nakamura, Hikaru","Karjakin, Sergey",2787,2763,2018.03.04,tourn (rapid),1/2-1/2,A04
182,"Karjakin, Sergey","Schulz, Christian",2678,2367,2007.08.18,,1-0,B90
183,"Karjakin, Sergey","Bosque Ortega, Xavier",2658,2282,2005.11.20,swiss (rapid),1-0,B15
184,"Duda, Jan Krzysztof","Karjakin, Sergey",2737,2773,2018.09.06,,1-0,C67
185,"Karjakin, Sergey","Onischuk, Alexander",2772,2669,2011.10.04,tourn,1/2-1/2,C89
186,"Karjakin, Sergey","Radjabov, Teimour",2779,2726,2016.06.02,tourn,1/2-1/2,C18
187,"Karjakin, Sergey","Na, Na",2566,,2004.05.09,tourn (blitz),1-0,B33
188,"Duda, Jan Krzysztof","Karjakin, Sergey",2757,2752,2020.10.25,schev,1-0,A13
189,"Karjakin, Sergey","Naroditsky, Daniel",2752,2621,2020.10.25,,1-0,B06
190,"Murashko, Vyacheslav L","Karjakin, Sergey",2464,2206,2000.??.??,swiss,1-0,A16
191,"Karjakin, Sergey","Beliavsky, Alexander G",2635,2630,2005.06.30,swiss,0-1,C51
192,"Nisipeanu, Liviu Dieter","Karjakin, Sergey",2670,2635,2005.06.23,,1/2-1/2,B87
193,"Karjakin, Sergey","Davies, Nigel Rodney",2747,2494,2010.08.07,swiss (rapid),1-0,B42
194,"Karjakin, Sergey","Eljanov, Pavel",2762,2717,2015.09.29,k.o.,1/2-1/2,A40
195,"Karjakin, Sergey","Kosteniuk, Alexandra",,,????.??.??,,1/2-1/2,
196,"Karjakin, Sergey","Onischuk, Alexander",2739,2699,2010.06.11,tourn,1/2-1/2,C78
197,"Karjakin, Sergey","Kaidanov, Gregory",2599,2629,2005.02.20,,1/2-1/2,C82
198,"Andreikin, Dmitry","Karjakin, Sergey",2700,2779,2012.07.09,blitz,1/2-1/2,A04
199,"Dubov, Daniil","Karjakin, Sergey",2720,2743,2022.02.21,,1-0,C54
200,"Karjakin, Sergey","Adams, Michael",2769,2744,2016.01.27,tourn,0-1,D02
201,"So, Wesley","Karjakin, Sergey",2763,2748,2019.07.16,,1/2-1/2,
202,"Karjakin, Sergey","Svidler, Peter",2779,2762,2016.05.06,swiss (blitz),0-1,C88
203,"Karjakin, Sergey","Anand, Viswanathan",2760,2762,2016.03.15,tourn,1-0,A13
204,"Illescas Cordoba, Miguel","Karjakin, Sergey",2595,2547,2003.03.31,tourn,1/2-1/2,D27
205,"Shkuro, Iuri","Karjakin, Sergey",2250,2269,2001.??.??,tourn,0-1,B90
206,"Sjugirov, Sanan","Karjakin, Sergey",2653,2772,2014.04.07,team-swiss,0-1,E13
207,"Karjakin, Sergey","Movsesian, Sergei",2523,2654,2002.??.??,swiss (rapid),1/2-1/2,B85
208,"Svidler, Peter","Karjakin, Sergey",2762,2779,2016.06.19,,1/2-1/2,A34
209,"Karjakin, Sergey","Lazavik, Denis",2752,2424,2020.10.03,,1-0,C53
210,"Karjakin, Sergey","Beliavsky, Alexander G",2679,2625,2006.08.23,schev,1/2-1/2,C92
211,"Karjakin, Sergey","Caruana, Fabiano",,,2016.03.28,swiss,1-0,
212,"Karjakin, Sergey","Shirov, Alexei",2760,2739,2010.11.08,tourn,1/2-1/2,C78
213,"Karjakin, Sergey","Leko, Peter",2727,2741,2008.08.29,tourn (blitz),1/2-1/2,E15
214,"Harikrishna, Pentala","Karjakin, Sergey",2645,2645,2005.07.20,tourn,1/2-1/2,D28
215,"Hernandez Gonzalez, William","Karjakin, Sergey",2481,2752,2020.06.23,,0-1,B96
216,"Vokhidov, Shamsiddin","Karjakin, Sergey",2530,2757,2021.07.16,,0-1,
217,"Khenkin, Igor","Karjakin, Sergey",2609,2732,2008.04.11,team,1/2-1/2,D13
218,"Karjakin, Sergey","Anand, Viswanathan",2776,2817,2011.03.17,tourn (rapid),1/2-1/2,B90
219,"Shirov, Alexei","Karjakin, Sergey",2726,2730,2008.11.01,team-tourn,1-0,C67
220,"Karjakin, Sergey","Grischuk, Alexander",2723,2736,2009.11.16,tourn (blitz),0-1,B20
221,"Andreikin, Dmitry","Karjakin, Sergey",,,2013.08.20,,1/2-1/2,E12
222,"Karjakin, Sergey","Kobalia, Mikhail",2580,2630,2004.06.20,,0-1,C99
223,"Rustemov, Alexander","Karjakin, Sergey",2604,2547,2003.04.02,tourn,1-0,A33
224,"Karjakin, Sergey","Topalov, Veselin",2769,2770,2012.01.21,,1-0,B23
225,"Volokitin, Andrei","Karjakin, Sergey",2665,2660,2006.02.07,tourn,1-0,C67
226,"Navara, David","Karjakin, Sergey",,,2015.10.14,rapid,1-0,E12
227,"Karjakin, Sergey","Ponomariov, Ruslan",2679,2721,2006.07.13,,1/2-1/2,B90
228,"Karjakin, Sergey","Paravyan, David",2777,2428,2014.09.06,tourn (blitz),1-0,A03
229,"Kruppa, Yuri","Karjakin, Sergey",2572,2269,2001.04.??,team-tourn,1-0,D28
230,"Laznicka, Viktor","Karjakin, Sergey",2679,2771,2014.06.19,rapid,1-0,E59
231,"Karjakin, Sergey","Volokitin, Andrei",2785,2709,2012.09.05,,1-0,C47
232,"Lysyj, Igor","Karjakin, Sergey",2691,2757,2015.03.08,swiss,0-1,E12
233,"Karjakin, Sergey","Nepomniachtchi, Ian",2783,2751,2017.10.24,k.o. (blitz),1/2-1/2,B32
234,"Ponomariov, Ruslan","Karjakin, Sergey",2721,2679,2006.07.16,,0-1,E12
235,"Karjakin, Sergey","Dubov, Daniil",2780,2666,2017.09.06,k.o.,1/2-1/2,B33
236,"Karjakin, Sergey","Duda, Jan Krzysztof",2773,2737,2018.09.06,,1-0,B29
237,"Karjakin, Sergey","Rapport, Richard",2743,2763,2021.12.18,,1-0,
238,"Navara, David","Karjakin, Sergey",2697,2743,2021.12.19,rapid,0-1,A07
239,"Karjakin, Sergey","Triapishko, Alexandr",2752,2506,2020.09.22,,1-0,A01
240,"Nakamura, Hikaru","Karjakin, Sergey",2772,2772,2014.04.24,tourn,1/2-1/2,A30
241,"Karjakin, Sergey","Vachier Lagrave, Maxime",2756,2745,2013.12.16,tourn (blitz),1/2-1/2,B49
242,"Giri, Anish","Karjakin, Sergey",2779,2748,2019.07.14,,1-0,
243,"Vachier Lagrave, Maxime","Karjakin, Sergey",2789,2782,2018.06.12,blitz,1/2-1/2,C53
244,"Karjakin, Sergey","Morozevich, Alexander",2679,2731,2006.07.12,,1-0,C11
245,"Karjakin, Sergey","So, Wesley",2748,2763,2019.07.17,,1/2-1/2,
246,"Narciso Dublan, Marc","Karjakin, Sergey",2539,2686,2007.04.11,,0-1,B96
247,"Nepomniachtchi, Ian","Karjakin, Sergey",2775,2748,2019.06.16,,0-1,C54
248,"Carlsen, Magnus","Karjakin, Sergey",,,2017.08.03,,1-0,A05
249,"Areshchenko, Alexander","Karjakin, Sergey",2660,2661,2006.04.28,team,1/2-1/2,B92
250,"Inarkiev, Ernesto","Karjakin, Sergey",2693,2748,2019.08.03,,0-1,
251,"Karjakin, Sergey","Amin, B.",2752,2686,2020.07.07,,1-0,C55
252,"Ganguly, Surya Shekhar","Karjakin, Sergey",2615,2753,2018.11.10,tourn (rapid),0-1,C54
253,"Karjakin, Sergey","Christiansen, Johan Sebastian",2757,2522,2021.12.26,rapid,1/2-1/2,
254,"Morozevich, Alexander","Karjakin, Sergey",2736,2776,2013.07.06,tourn,0-1,E15
255,"Karjakin, Sergey","Pridorozhni, Aleksei",2752,2596,2020.10.06,,1/2-1/2,B40
256,"Ghaem Maghami, Ehsan","Karjakin, Sergey",2585,2747,2010.08.07,swiss (rapid),0-1,C60
257,"So, Wesley","Karjakin, Sergey",2770,2752,2020.05.20,,1/2-1/2,C65
258,"Nepomniachtchi, Ian","Karjakin, Sergey",2751,2783,2017.10.24,k.o. (blitz),1/2-1/2,A28
259,"Karjakin, Sergey","Kramnik, Vladimir",2766,2797,2020.05.12,,1/2-1/2,
260,"Akobian, Varuzhan","Karjakin, Sergey",2647,2760,2017.12.26,swiss (rapid),0-1,D10
261,"Xu, Yinglun","Karjakin, Sergey",2555,2754,2019.12.30,blitz,0-1,D38
262,"Karjakin, Sergey","Harikrishna, Pentala",2783,2755,2017.04.21,,1/2-1/2,D38
