,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
66,"Wang, Hao","Aronian, Levon",2724,2783,2010.09.03,,0-1,E10
67,"Aronian, Levon","Carlsen, Magnus",2792,2855,2016.06.17,tourn (rapid),0-1,A85
68,"Wesley, George","Aronian, Levon",2760,2772,2019.11.25,,1/2-1/2,D02
69,"Kovalev, Vladislav","Aronian, Levon",2664,2780,2018.10.01,team-swiss,1/2-1/2,C48
70,"Aronian, Levon","Nepomniachtchi, Ian",2785,2773,2022.03.05,rapid,1/2-1/2,D41
71,"Vachier Lagrave, Maxime","Aronian, Levon",,,2017.08.06,,1/2-1/2,C50
72,"Aronian, Levon","Nakamura, Hikaru",2815,2760,2012.12.01,,0-1,A31
73,"McShane, Luke J","Aronian, Levon",2614,2741,2007.02.03,team-tourn,0-1,C88
74,"Aronian, Levon","Quang Liem, Le",2799,2739,2017.08.18,blitz,1-0,A45
75,"Lenier, Dominguez","Aronian, Levon",2739,2809,2017.08.17,blitz,0-1,C88
76,"Vachier Lagrave, Maxime","Aronian, Levon",2788,2784,2016.04.18,tourn (blitz),1/2-1/2,D38
77,"Aronian, Levon","Svetuschin, Dumitru",2551,2472,2000.09.23,,1-0,A11
78,"Radjabov, Teimour","Aronian, Levon",2713,2803,2013.12.13,swiss (rapid),1/2-1/2,D46
79,"Tiviakov, Sergei","Aronian, Levon",2631,2693,2005.06.29,swiss,1/2-1/2,C45
80,"Aronian, Levon","Tomashevsky, Evgeny",2795,2731,2016.09.25,tourn (blitz),1-0,C50
81,"Topalov, Veselin","Aronian, Levon",2801,2752,2006.01.25,tourn,1-0,E15
82,"Aronian, Levon","Timon Piote, Silvia",2587,2255,2000.01.24,,1-0,B37
83,"Motylev, Danila","Aronian, Levon",2647,2744,2007.01.16,,1/2-1/2,C87
84,"Khusnutdinov, Rustam","Aronian, Levon",2458,2785,2016.12.30,swiss (blitz),0-1,B86
85,"Aronian, Levon","Rapport, Richard",2795,2730,2016.11.08,,0-1,D07
