,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
66,"Topalov, Veselin","Karpov, Anatoly",2784,2619,2013.06.06,tourn (rapid),1/2-1/2,B01
67,"Topalov, Veselin","Davidovich Dorfman, Iossif",,,1992.??.??,,1-0,B42
68,"Topalov, Veselin","Kamsky, Gata",2775,2732,2011.05.08,k.o.,1/2-1/2,A16
69,"Polgar, Judit","Topalov, Veselin",2687,2813,2009.08.23,simul,1/2-1/2,C48
70,"Vallejo Pons, Francisco","Topalov, Veselin",,,2012.06.10,swiss,1-0,B90
71,"So, Wesley","Topalov, Veselin",2771,2761,2016.08.11,,*,A20
72,"Gonzalez, Luis","Topalov, Veselin",,2460,1992.??.??,,0-1,D02
73,"Topalov, Veselin","Evdokimov, Alexander A",2769,2544,2007.08.05,swiss (rapid),1-0,A48
74,"Topalov, Veselin","Dreev, Aleksey",2707,2685,2001.05.15,,1/2-1/2,B19
75,"Anand, Viswanathan","Topalov, Veselin",2803,2804,2006.05.18,,0-1,B80
76,"Wesley, George","Topalov, Veselin",2773,2754,2016.06.19,,1-0,B54
77,"Topalov, Veselin","Leko, Peter",2757,2749,2005.??.??,tourn,1/2-1/2,B33
78,"Topalov, Veselin","Piket, Jeroen",2700,2619,1999.03.27,tourn (rapid),1/2-1/2,E01
79,"Topalov, Veselin","Vachier Lagrave, Maxime",2761,2789,2016.06.11,tourn (blitz),1-0,A29
80,"Kortschnoj, Viktor Lvovich","Topalov, Veselin",2625,2700,1998.11.04,tourn,1/2-1/2,E34
81,"Fedorov, Alexei","Topalov, Veselin",2659,2690,1999.12.02,team,1/2-1/2,B90
82,"Topalov, Veselin","Illescas Cordoba, Miguel",2725,2635,1997.04.09,tourn,1-0,E15
83,"Topalov, Veselin","Lautier, Joel",2640,2625,1994.??.??,,1/2-1/2,B47
84,"Parker, Jonathan F","Topalov, Veselin",2325,2495,1990.??.??,,0-1,E20
85,"Topalov, Veselin",Anand V,2793,2783,2013.05.07,blitz,1/2-1/2,A05
86,"Almasi, Zoltan","Topalov, Veselin",2640,2718,2001.03.17,rapid,0-1,B33
87,"Bielczyk, Jacek","Topalov, Veselin",2405,2455,1991.??.??,,1/2-1/2,B85
88,"Topalov, Veselin","Matulovic, Milan",2455,2470,1991.04.??,,1/2-1/2,D20
89,"Salov, Valery","Topalov, Veselin",2665,2725,1997.04.05,,1-0,B07
