,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
55,"Tanenbaum, Zachary","Vachier Lagrave, Maxime",2148,2758,2022.04.26,,0-1,B13,2
56,"Vachier Lagrave, Maxime","Fargere, Francois",2745,2446,2014.??.??,swiss (blitz),1-0,C11,?
57,"Rapport, Richard","Vachier Lagrave, Maxime",2707,2789,2017.12.29,blitz,1/2-1/2,A45,1.4
58,"Vachier Lagrave, Maxime","Zubov, A Ukr",2778,2589,2020.07.21,,1-0,A05,6
59,"Vachier Lagrave, Maxime","Korobov, Anton",2789,2652,2017.12.29,blitz,1-0,B92,9.4
60,"Vachier Lagrave, Maxime","Shirov, Alexei",2722,2714,2011.07.29,swiss,1/2-1/2,E04,10
61,"Ye, Jiangchuan","Vachier Lagrave, Maxime",2641,2577,2006.09.08,,1/2-1/2,B93,5
62,"Carlsen, Magnus","Vachier Lagrave, Maxime",2886,2822,2020.12.11,,0-1,,1.3
63,"Vachier Lagrave, Maxime","Svidler, Peter",2765,2745,2015.11.20,team-swiss,1/2-1/2,E60,7.1
64,"Vachier Lagrave, Maxime","Budisin, Stanislav",2682,2147,2012.04.28,swiss (rapid),1-0,B40,2
65,"Vachier Lagrave, Maxime","Aronian, Levon",,,2017.08.06,,1/2-1/2,C50,5
66,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2787,2785,2016.02.04,match (rapid),1/2-1/2,B22,11
67,"Vachier Lagrave, Maxime","Aronian, Levon",2788,2784,2016.04.18,tourn (blitz),1/2-1/2,D38,4
68,"Vachier Lagrave, Maxime","Zhao, Jun",2525,2521,2005.07.03,match,1/2-1/2,B30,6
69,"Marzolo, Cyril","Vachier Lagrave, Maxime",2437,2493,2004.12.20,,0-1,D76,6
70,"Vachier Lagrave, Maxime","Ding, Liren",2718,2530,2009.10.??,game,1-0,C07,?
71,"Nepomniachtchi, Ian","Vachier Lagrave, Maxime",2784,2778,2020.06.21,,1/2-1/2,C78,5.3
72,"So, Wesley","Vachier Lagrave, Maxime",2780,2779,2018.08.14,blitz,1/2-1/2,A33,?
73,"Vachier Lagrave, Maxime","Karjakin, Sergey",2792,2773,2019.05.11,blitz,1/2-1/2,,17.3
74,"Heberla, Bartlomiej","Vachier Lagrave, Maxime",2534,2721,2011.02.27,team-tourn,1/2-1/2,A16,11.1
75,"Vachier Lagrave, Maxime","Grischuk, Alexander",2795,2750,2017.10.23,k.o. (blitz),0-1,A45,2.22
76,"Vachier Lagrave, Maxime","Karjakin, Sergey",2760,2757,2021.07.27,,0-1,,42.7
77,"Gharamian, Tigran","Vachier Lagrave, Maxime",2676,2699,2012.01.08,k.o. (rapid),0-1,B35,1.1
78,"Giri, Anish","Vachier Lagrave, Maxime",2734,2745,2013.12.15,tourn (blitz),0-1,D85,13
79,"Vachier Lagrave, Maxime","Shabalov, Alexander",2719,2546,2013.08.11,k.o.,1-0,B12,1.1
80,"Vachier Lagrave, Maxime","Tomashevsky, Evgeny",2744,2758,2015.09.19,,1-0,E11,3
81,"Vachier Lagrave, Maxime","Jobava, Baadur",2803,2701,2017.03.15,,0-1,C41,3
82,"Vachier Lagrave, Maxime","Aronian, Levon",2758,2797,2014.12.14,tourn (blitz),1-0,A18,11
83,"Giri, Anish","Vachier Lagrave, Maxime",2731,2860,2020.12.28,,1-0,,9.1
84,"Vachier Lagrave, Maxime","Kizov, Atanas",2576,2427,2006.05.25,,1/2-1/2,C67,5.4
85,"Vachier Lagrave, Maxime","Carlsen, Magnus",2789,2855,2016.06.11,tourn (blitz),1/2-1/2,C79,3
86,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2822,2900,2020.12.12,,1/2-1/2,,2.6
87,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2805,2792,2019.05.08,blitz,1-0,,1.2
88,"Vachier Lagrave, Maxime","Kramnik, Vladimir",2783,2789,2017.06.28,tourn (blitz),1/2-1/2,C54,3
89,"Caruana, Fabiano","Vachier Lagrave, Maxime",2820,2760,2021.05.24,,1/2-1/2,,8.6
90,"Vachier Lagrave, Maxime","Guillaume, Kamal",2539,1944,2005.11.12,team,1-0,C66,1.1
91,"Giri, Anish","Vachier Lagrave, Maxime",2771,2796,2017.07.01,tourn (blitz),1/2-1/2,D84,2
92,"Vachier Lagrave, Maxime","Skripchenko, Almira",2542,2461,2006.03.26,,1/2-1/2,B45,9
93,"Vachier Lagrave, Maxime","San Segundo Carrillo, Pablo",2703,2570,2009.07.13,,1-0,B31,6
94,"Vachier Lagrave, Maxime","Lepan, Marvin",2302,2189,2002.04.25,tourn,1/2-1/2,B47,6
95,"Vachier Lagrave, Maxime","Anand, Viswanathan",2773,2774,2019.04.20,tourn,1/2-1/2,B12,1
96,"Vachier Lagrave, Maxime","Mamedyarov, Shakhriyar",2542,2709,2006.02.14,tourn,1/2-1/2,C72,7
97,"Vachier Lagrave, Maxime","Lazavik, Denis",2778,2424,2020.08.18,,0-1,D12,3
98,"Tkachiev, Vladislav","Vachier Lagrave, Maxime",2650,2703,2009.08.15,tourn,1/2-1/2,D76,6
99,"Vachier Lagrave, Maxime","Caruana, Fabiano",2766,2791,2021.11.29,,1-0,A00,1.13
100,"Vachier Lagrave, Maxime","So, Wesley",2796,2812,2017.06.05,tourn (blitz),1-0,C01,3
101,"Sonis, Francesco","Vachier Lagrave, Maxime",2481,2778,2020.09.08,,0-1,A41,4
102,"Vachier Lagrave, Maxime","Nepomniachtchi, Ian",2703,2720,2010.11.17,tourn (blitz),1/2-1/2,D76,21
103,"Vachier Lagrave, Maxime","Anand, Viswanathan",2789,2770,2016.06.19,tourn (blitz),0-1,D02,5
104,"Vachier Lagrave, Maxime","Muheim, Lukas",2412,2142,2003.10.24,,1-0,B01,2
105,"Caruana, Fabiano","Vachier Lagrave, Maxime",2640,2716,2008.10.27,tourn (rapid),1-0,B80,5
106,"Vachier Lagrave, Maxime","Caruana, Fabiano",2804,2823,2016.12.13,swiss,1/2-1/2,C42,5
107,"Koneru, Humpy","Vachier Lagrave, Maxime",2545,2579,2006.10.27,,1-0,D93,1
108,"Vachier Lagrave, Maxime","Turov, Maxim",2711,2630,2013.01.04,,1/2-1/2,C02,5.2
109,"Vachier Lagrave, Maxime","Georgiev, Krum",2382,2516,2003.06.20,,0-1,B80,1
110,"Carlsen, Magnus","Vachier Lagrave, Maxime",2862,2784,2021.02.12,rapid,0-1,D85,2.24
111,"Vachier Lagrave, Maxime","Le Pape, Jeremy",2434,2125,2004.04.24,match,1-0,B90,8
112,"Vachier Lagrave, Maxime","Nepomniachtchi, Ian",2412,2447,2003.10.30,,1/2-1/2,C03,8
113,"Vachier Lagrave, Maxime","Chao, Li",,,2017.02.18,,1-0,,1
114,"Vachier Lagrave, Maxime","Grischuk, Alexander",2767,2777,2020.03.21,,1/2-1/2,C67,4.3
115,"Vachier Lagrave, Maxime","Bocharov, Dmitry",2730,2594,2010.02.14,swiss,1-0,B48,6
