,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
57,"Duda, Jan Krzysztof","Wojtaszek, Radoslaw",2737,2733,2018.07.17,swiss,1-0,D00,3
58,"Duda, Jan Krzysztof","Riazantsev, Alexander",2468,2705,2012.12.15,rapid,1-0,B01,5.17
59,"Duda, Jan Krzysztof","Karjakin, Sergey",2729,2757,2021.08.05,,1-0,,65.1
60,"Krasenkow, Michal","Duda, Jan Krzysztof",2628,2724,2018.05.15,tourn,1/2-1/2,D28,4
61,"Vachier Lagrave, Maxime","Duda, Jan Krzysztof",2784,2743,2021.01.30,,1/2-1/2,,12.6
62,"Delchev, Aleksander","Duda, Jan Krzysztof",2550,2753,2020.08.27,,0-1,C07,1.1
63,"Duda, Jan Krzysztof","Artemiev, Vladislav",2756,2699,????.??.??,,0-1,,7
64,"Duda, Jan Krzysztof","Anton Guijarro, David",2743,2679,2021.01.24,,1/2-1/2,C50,8
65,"Duda, Jan Krzysztof","Fedoseev, Vladimir",2737,2707,2018.07.29,tourn,1/2-1/2,D31,3
66,"Duda, Jan Krzysztof",mohammad nubairshah shaikh,2247,2071,2010.10.27,,1-0,B12,8.2
67,"Svidler, Peter","Duda, Jan Krzysztof",2723,2753,2020.04.16,,1-0,A20,3.8
68,"Psyk, Radoslaw","Duda, Jan Krzysztof",2313,2724,2018.03.03,team-swiss (rapid),1-0,C88,5.25
69,"Duda, Jan Krzysztof","Giri, Anish",2730,2780,2019.09.06,,1-0,D45,1.27
70,"Mozharov, Mikhail","Duda, Jan Krzysztof",2518,2468,2013.01.04,swiss,0-1,D40,9
71,"Wang, Jiaying","Duda, Jan Krzysztof",2011,2247,2010.10.22,,0-1,C54,3.1
72,"Caruana, Fabiano","Duda, Jan Krzysztof",2823,2743,2020.11.15,,0-1,C42,1
73,"Duda, Jan Krzysztof","Balogh, Csaba",2587,2648,2014.06.10,schev,1/2-1/2,C65,3.6
74,"Duda, Jan Krzysztof","Adhiban, Baskaran",2729,2660,2021.06.28,,0-1,C78,13.7
75,"Duda, Jan Krzysztof","Grischuk, Alexander",2737,2766,2018.09.18,,1/2-1/2,B91,2.18
76,"Wojtaszek, Radoslaw","Duda, Jan Krzysztof",2711,2553,2014.01.13,tourn,1/2-1/2,D12,3
77,"Maze, Sebastien","Duda, Jan Krzysztof",2615,2724,2018.05.31,,1/2-1/2,B81,6.6
78,"Shonia, Giorgi","Duda, Jan Krzysztof",,,2005.09.18,swiss,0-1,A09,5
79,"Vlassov, Nikolai","Duda, Jan Krzysztof",2352,2753,2020.08.18,swiss (blitz),0-1,B01,1
80,"Duda, Jan Krzysztof","Mamedyarov, Shakhriyar",2738,2782,2021.07.10,,1-0,,14.4
81,"Duda, Jan Krzysztof","Muzychuk, Anna",2553,2566,2014.01.14,tourn,0-1,C78,4
82,"Aronian, Levon","Duda, Jan Krzysztof",2784,2658,2015.10.13,blitz,1-0,A13,9.3
83,"Vachier Lagrave, Maxime","Duda, Jan Krzysztof",2749,2738,2021.07.08,,1-0,,4.3
84,"Duda, Jan Krzysztof","Caruana, Fabiano",2743,2823,2020.11.15,schev,1-0,C11,1.17
85,"Duda, Jan Krzysztof","Carlsen, Magnus",2720,2854,????.??.??,,1-0,,3
86,"Duda, Jan Krzysztof","Naiditsch, Arkadij",2610,2720,2015.06.07,team-tourn,1/2-1/2,C67,9.1
87,"Ponomariov, Ruslan","Duda, Jan Krzysztof",2694,2717,2017.12.15,blitz,0-1,C10,15.4
88,"Duda, Jan Krzysztof","Nakamura, Hikaru",2731,2749,2019.02.23,match (blitz),1-0,A18,9.2
89,"Van Foreest, Jorden","Duda, Jan Krzysztof",2629,2717,2017.12.30,blitz,0-1,C00,21.34
90,"Grachev, Boris","Duda, Jan Krzysztof",2614,2758,2019.12.27,rapid,1/2-1/2,D85,8.8
91,"Rapport, Richard","Duda, Jan Krzysztof",2738,2731,2019.03.06,,0-1,B08,1.2
92,"Duda, Jan Krzysztof","Karjakin, Sergey",2737,2773,2018.09.06,,1-0,C67,?
93,"Duda, Jan Krzysztof","Karjakin, Sergey",2757,2752,2020.10.25,schev,1-0,A13,4.7
94,"Duda, Jan Krzysztof","Filewicz, Przemyslaw",2724,2123,2018.03.03,rapid,1/2-1/2,C00,?
95,"Piorun, Kacper","Duda, Jan Krzysztof",2653,2724,2018.03.03,team-swiss (rapid),1/2-1/2,C10,3.17
96,"Sadikhov, Ulvi Ramil Oglu","Duda, Jan Krzysztof",,1901,2007.11.24,swiss,0-1,C11,7
97,"Duda, Jan Krzysztof","Salem, A.R. Saleh",2534,2570,2013.09.22,,1-0,B33,9.5
98,"Petenyi, Tamas","Duda, Jan Krzysztof",2454,2710,2017.12.03,team-tourn,0-1,A36,4.6
99,"Mamedyarov, Shakhriyar","Duda, Jan Krzysztof",2782,2738,2021.07.08,,0-1,,6.4
100,"Carlsen, Magnus","Duda, Jan Krzysztof",2847,2738,2021.08.31,rapid,1-0,,3.4
101,"Volokitin, Andrei","Duda, Jan Krzysztof",2623,2706,2018.02.25,,1/2-1/2,B90,10.5
102,"Duda, Jan Krzysztof","So, Wesley",2737,2780,2018.11.30,,0-1,D03,3.26
103,"Duda, Jan Krzysztof","Nakamura, Hikaru",2730,2745,2019.12.04,,1/2-1/2,D37,2.18
104,"Dominguez Perez, Leinier","Duda, Jan Krzysztof",2758,2738,2021.08.28,rapid,1-0,,1.1
105,"Duda, Jan Krzysztof","Espinosa Veloz, Ermes",2610,2504,2015.06.18,,0-1,C19,4.3
106,"Duda, Jan Krzysztof","Harutyunian, Tigran K",1877,1963,2007.09.18,swiss,1-0,B72,5.1
107,"Meier, Georg","Duda, Jan Krzysztof",2628,2734,2020.03.28,blitz,1-0,A05,4.7
108,"Alekseenko, Kirill","Duda, Jan Krzysztof",2637,2738,2019.02.14,,0-1,C42,6
109,"Vitiugov, Nikita","Duda, Jan Krzysztof",2721,2710,2018.02.10,,1/2-1/2,B54,?
110,"Caruana, Fabiano","Duda, Jan Krzysztof",2823,2743,2020.11.15,,1-0,B80,1
111,"Duda, Jan Krzysztof","Horvath, Jozsef",2470,2532,2012.09.26,team-tourn,0-1,B47,4.3
112,"Karjakin, Sergey","Duda, Jan Krzysztof",2773,2737,2018.09.06,,1-0,B29,1.11
113,"Meier, Georg","Duda, Jan Krzysztof",2628,2730,2019.12.15,blitz,0-1,,83.7
114,"Salomon, Johan","Duda, Jan Krzysztof",2269,2557,2013.12.27,swiss,1/2-1/2,B53,10
115,"Duda, Jan Krzysztof","Grischuk, Alexander",2737,2766,2018.09.18,,1-0,E81,2.20
116,"Duda, Jan Krzysztof","Grischuk, Alexander",2737,2766,2018.09.18,,1-0,D03,2.10
117,"Duda, Jan Krzysztof","Wang, Hao",2738,2730,2018.12.26,rapid,1/2-1/2,A13,3.5
118,"Caruana, Fabiano","Duda, Jan Krzysztof",2822,2758,2020.01.25,,1-0,E06,12.5
119,"Khanin, Semen","Duda, Jan Krzysztof",2500,2758,2019.12.26,rapid,1/2-1/2,B06,2.9
120,"Sethuraman, Panayapan","Duda, Jan Krzysztof",2553,2534,2013.09.19,,1-0,E12,7.5
121,"Duda, Jan Krzysztof","Antipov, Mikhail Al",2368,2412,2011.09.18,swiss,1/2-1/2,B92,7
122,"Rodshtein, Maxim","Duda, Jan Krzysztof",2689,2666,2016.05.28,,1/2-1/2,D11,1.2
123,"Firouzja, Alireza","Duda, Jan Krzysztof",2759,2729,2021.06.26,rapid,0-1,,3.5
124,"Duda, Jan Krzysztof","Mamedyarov, Shakhriyar",2729,2770,2021.03.31,,1-0,,8.1
125,"Duda, Jan Krzysztof","Brodowski, Piotr",2597,2435,2015.03.24,tourn,0-1,B06,1
126,"Hamarat, Tunc","Duda, Jan Krzysztof",2501,,2021.03.15,,1/2-1/2,,?
127,"Nakamura, Hikaru","Duda, Jan Krzysztof",2745,2730,2019.12.04,,1/2-1/2,A05,2.9
128,"Dominguez Perez, Leinier","Duda, Jan Krzysztof",2786,2774,2021.02.08,rapid,1-0,,12.8
129,"Karjakin, Sergey","Duda, Jan Krzysztof",2773,2737,2018.09.06,,1-0,B92,?
130,"Korpa, Bence","Duda, Jan Krzysztof",2317,2411,2012.08.25,swiss,1/2-1/2,C84,9
131,"Nakamura, Hikaru","Duda, Jan Krzysztof",2745,2730,2019.12.04,,1-0,B50,2.5
132,"Duda, Jan Krzysztof","Klekowski, Maciej",2652,2432,2016.04.07,tourn,1-0,B33,9
133,"Duda, Jan Krzysztof","Caruana, Fabiano",2799,2711,2020.11.15,match,1-0,,3.8
134,"Duda, Jan Krzysztof","Salgado Lopez, Ivan",2542,2610,2013.11.12,,1/2-1/2,B15,5.11
135,"Grischuk, Alexander","Duda, Jan Krzysztof",2764,2748,2019.11.17,,1-0,D11,4.5
136,"Duda, Jan Krzysztof","Nakamura, Hikaru",2730,2745,2019.12.04,,0-1,C72,2.22
137,"Wesley, George","Duda, Jan Krzysztof",2770,2743,2020.11.19,,1-0,B92,2
138,"Sanal, Vahap","Duda, Jan Krzysztof",2170,2247,2010.10.24,,0-1,C95,5.1
139,"Kochemasov, Andrey","Duda, Jan Krzysztof",2553,,2021.03.15,,1/2-1/2,,?
140,"Duda, Jan Krzysztof","Edouard, Romain",2734,2641,2020.03.16,blitz,1-0,A30,3.9
141,"Duda, Jan Krzysztof","Bronsztejn, Wojciech",,,2010.07.13,,1-0,,8.2
142,"Safarli, Eltaj","Duda, Jan Krzysztof",,,2015.10.14,rapid,1-0,B90,21
143,"Kreisl, Robert","Duda, Jan Krzysztof",2415,2587,2014.05.27,team,1/2-1/2,A00,5.1
144,"Duda, Jan Krzysztof","Vidit, Santosh Gujrathi",2738,2726,2021.07.29,,1-0,C78,42.4
145,"Duda, Jan Krzysztof","Lewicki, Miroslaw",2557,2225,2013.12.15,tourn,1-0,B80,8
146,"Duda, Jan Krzysztof","Antipov, Mikhail Al",1877,2094,2007.09.17,swiss,1-0,C05,4.1
147,"Edouard, Romain","Duda, Jan Krzysztof",2640,2730,2019.11.27,blitz,0-1,,64.13
148,"Duda, Jan Krzysztof","Djukic, Nikola",2675,2534,2016.09.05,swiss,1-0,B94,4.13
149,"Duda, Jan Krzysztof","Jakubowski, Krzysztof",2563,2527,2014.03.27,,1-0,B92,3
