,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
62,"Wang, Yue","Wang, Hao",2718,2717,2016.03.03,swiss (rapid),1-0,D06,4.14
63,"Wang, Hao","Diermair, Andreas",2696,2365,2008.10.13,k.o. (blitz),1-0,C95,11
64,"Andreikin, Dmitry","Wang, Hao",2719,2730,2018.12.27,swiss (rapid),0-1,E14,9
65,"Wang, Hao","Yu, Yangyi",2700,2734,2015.11.20,rapid,1-0,A04,1.3
66,"Wang, Hao","Bu, Xiangzhi",2696,2714,2008.10.04,blitz,0-1,D17,6
67,"Ivanchuk, Vassily","Wang, Hao",2731,2735,2013.12.12,swiss (rapid),1/2-1/2,C42,3
68,"Wang, Hao","Erdogdu, Mert",2696,2449,2008.10.13,k.o. (blitz),1-0,B84,7
69,"Wang, Hao","Navara, David",2756,2707,2019.12.12,,1/2-1/2,C65,1.2
70,"Aravindh, Chithambaram","Wang, Hao",2475,2768,2017.05.21,blitz,1-0,,9.2
71,"Yu, Yangyi","Wang, Hao",2751,2709,2017.12.30,blitz,1/2-1/2,E21,21.3
72,"Zhu, Yi","Wang, Hao",2318,2732,2016.04.12,team-tourn,0-1,D43,1.3
73,"Wang, Hao","Howell Rajko Vujatovi, David",2215,2381,2003.10.26,,1-0,B30,4
74,"Vachier Lagrave, Maxime","Wang, Hao",2758,2710,2014.12.16,swiss,1-0,D24,3
75,"Lei, Tingjie","Wang, Hao",2468,2678,2016.12.10,swiss,0-1,A50,8
76,"Wang, Hao","Bologan, Victor",2730,2648,2014.09.19,tourn,1-0,D16,6.6
77,"Zubov, A Ukr","Wang, Hao",2601,2756,2019.12.26,rapid,1/2-1/2,D02,4.2
78,"Radjabov, Teimour","Wang, Hao",2734,2710,2014.12.14,tourn (blitz),1/2-1/2,D02,15
79,"Wang, Hao","Grischuk, Alexander",2752,2780,2013.07.06,tourn,1/2-1/2,D85,3
80,"Lan, Zilun","Wang, Hao",2354,2696,2017.06.08,team-swiss,0-1,A32,3.7
81,"Kamsky, Gata","Wang, Hao",2666,2730,2018.12.30,swiss (blitz),1-0,D02,16
82,"Wang, Hao","Mamedyarov, Shakhriyar",2736,2733,2011.12.13,swiss (blitz),0-1,E66,13
83,"Jussupow, Artur","Wang, Hao",2617,2610,2006.08.20,,1/2-1/2,D15,2
84,"Zhigalko, Andrey","Wang, Hao",2584,2701,2017.01.29,,1/2-1/2,B18,6.5
85,"Liu, Qingnan","Wang, Hao",2500,2747,2013.08.11,k.o.,1/2-1/2,C10,1.1
86,"Riazantsev, Alexander","Wang, Hao",2692,2729,2014.06.18,swiss (rapid),0-1,E90,11
87,"Wang, Hao","Shirov, Alexei",2731,2722,2011.01.22,tourn,1/2-1/2,D30,7
88,"Khenkin, Igor","Wang, Hao",2605,2752,2013.08.03,tourn,1-0,E94,8
89,"Hill, Alistair","Wang, Hao",2249,2701,2016.10.05,swiss,1/2-1/2,B63,5.40
90,"Wang, Hao","Rublevsky, Sergei",2724,2688,2010.08.08,schev,1/2-1/2,B85,4
91,"Wang, Hao","Gao, Rui",2696,2500,2009.04.22,tourn,1/2-1/2,B90,6
92,"Ponomariov, Ruslan","Wang, Hao",2741,2737,2012.11.22,tourn,1/2-1/2,B91,1
93,"Wang, Hao","Wei, Yi",2728,2270,2011.04.12,team-tourn,1-0,E58,1
94,"Wang, Hao","Ding, Liren",2722,2547,2010.06.15,tourn,0-1,C11,5
95,"Wang, Hao","Wu, Kaitao",1652,1945,2017.06.12,,1-0,B28,7
96,"Patriarca, Luis","Wang, Hao",2259,2456,2004.10.15,team-swiss,1/2-1/2,A25,1
97,"Wang, Hao","Khalifman, Alexander",2593,2660,2006.02.09,tourn,1/2-1/2,B85,2
98,"Wang, Hao","Zhong, Yang",2684,2613,2008.05.19,,0-1,C67,7
99,"Wang, Hao","Gashimov, Vugar",2736,2757,2011.12.10,,0-1,E10,5
100,"Wang, Hao","Giri, Anish",2782,2739,2018.12.28,blitz,1/2-1/2,B90,12.4
101,"Wang, Hao","Moussard, Jules",2758,2600,2020.01.24,,1-0,B90,4.5
102,"Potkin, Vladimir","Wang, Hao",2626,2724,2010.08.11,schev (rapid),1-0,B13,5
103,"Wang, Hao","Svane, Rasmus",2714,2599,2019.02.24,swiss,1-0,D15,6
104,"Wang, Hao","Mchedlishvili, Mikheil",2678,2601,2016.12.07,swiss,1/2-1/2,E60,3
105,"Wang, Hao","Mamedyarov, Shakhriyar",2736,2733,2011.12.10,swiss (rapid),1-0,E65,3
106,"Wang, Hao","Grischuk, Alexander",2763,2777,2021.04.21,,1/2-1/2,,10.3
107,"Dubois, Marie","Wang, Hao",2064,2619,2007.02.27,,0-1,C00,2
108,"Wang, Hao","Antipov, Mikhail Al",2726,2605,2019.04.23,swiss,1-0,D15,7
109,"Wang, Hao","Timofeev, Artyom",2724,2690,2010.08.07,rapid,1/2-1/2,B76,3
110,"Ghosh, Diptayan","Wang, Hao",2550,2707,2015.12.24,swiss,0-1,D45,2
111,"Wang, Hao","Yu, Yangyi",,,????.??.??,,1/2-1/2,,3.3
112,"Wang, Hao","Huynh, Lam Binh Nguyen",1652,2406,2017.05.20,,0-1,B51,9.34
113,"Wang, Hao","Motylev, Alexander",2734,2685,2014.04.27,tourn,1-0,C45,7
114,"Wang, Hao","Motylev, Alexander",2734,2680,2014.12.07,team-tourn,1-0,D11,20.1
115,"Wang, Yue","Wang, Hao",2598,2605,2006.07.04,tourn,1/2-1/2,D12,10
116,"Wang, Hao","Suttor, Vincent",2433,2036,2004.07.??,team-swiss,1-0,B78,1
117,"Kotsur, Pavel","Wang, Hao",2587,2519,2005.10.12,swiss,1-0,A17,6
118,"Zhao, Xue","Wang, Hao",2502,2457,2005.02.18,swiss,0-1,E12,4
119,"Grischuk, Alexander","Wang, Hao",2810,2710,2014.12.13,tourn (blitz),1/2-1/2,D11,22
120,"Wang, Hao","Lenier, Dominguez",2725,2760,2019.09.17,,1/2-1/2,C67,3
