,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
59,"Andreikin, Dmitry","Lintchevski, Daniil",2418,2248,2004.06.27,,1-0,C42,9
60,"Andreikin, Dmitry","Keosidi, Konstantin",2342,2200,2003.??.??,,1-0,B35,?
61,"Kryakvin, Dmitry","Andreikin, Dmitry",2588,2725,2019.01.16,team-swiss (rapid),1/2-1/2,D03,2
62,"Ponkratov, Pavel","Andreikin, Dmitry",2641,2724,2022.02.22,,1-0,D35,4
63,"Andreikin, Dmitry","Howell, David W L",2650,2616,2010.07.22,,1-0,D76,4
64,"Andreikin, Dmitry","Grischuk, Alexander",2724,2776,2021.06.23,k.o.,1/2-1/2,A41,1.5
65,"Rychagov, Anton","Andreikin, Dmitry",2561,2723,2012.11.11,,0-1,A42,11.2
66,"Andreikin, Dmitry","Banusz, Tamas",2293,2113,2001.09.02,,1/2-1/2,B14,3
67,"Andreikin, Dmitry","Jumabayev, Rinat",2724,2637,2021.06.15,,1-0,A45,11
68,"Xu, Minghui","Andreikin, Dmitry",2403,2733,2019.11.22,,1-0,A04,17.4
69,"Chadaev, Nikolai","Andreikin, Dmitry",2370,2418,2004.03.20,swiss,1/2-1/2,C67,7
70,"Andreikin, Dmitry","Harutyunian, Tigran K",2719,2528,2018.12.16,swiss,1-0,C45,3
71,"Andreikin, Dmitry","Mamedyarov, Shakhriyar",2709,2757,2014.03.26,tourn,1/2-1/2,E04,11
72,"Shakirov, A.","Andreikin, Dmitry",2749,2669,2010.10.21,,0-1,C11,5
73,"Andreikin, Dmitry","Chiku Ratte, Olivier Kenta",2725,2377,2021.02.02,,1-0,A45,3
74,"Andreikin, Dmitry","Eraschenkov, Denis",2217,,2001.??.??,,1/2-1/2,C42,?
75,"Andreikin, Dmitry","Stocek, Jiri",,,2012.03.27,,1/2-1/2,A11,7
76,"Andreikin, Dmitry","Quang Liem, Le",2713,2712,2013.06.10,,1/2-1/2,B53,28.1
77,"Shahade, Gregory","Andreikin, Dmitry",2476,2724,2021.08.24,,0-1,B48,3
78,"Andreikin, Dmitry","Korobov, Anton",2712,2652,2017.12.14,swiss (rapid),0-1,D90,2.2
79,"Andreikin, Dmitry","Perez Ponsa, Federico",2743,2586,2016.06.05,,1-0,A48,2.2
80,"Grischuk, Alexander","Andreikin, Dmitry",2776,2724,2021.06.23,k.o.,0-1,C02,1.10
81,"Andreikin, Dmitry","Zabotin, Alexander",2418,2348,2004.03.17,swiss,1/2-1/2,B80,4
82,"Andreikin, Dmitry","Goltsev, Dmitry",2726,2292,2020.06.09,,1-0,E11,2
83,"Andreikin, Dmitry","Ladva, Ottomar",2737,2510,2016.12.15,swiss (rapid),1-0,B30,3
84,"Andreikin, Dmitry","Balaji, Aaravamudhan",2724,2211,2022.02.02,,1-0,A50,2
85,"Andreikin, Dmitry","Jakovenko, Dmitry",2715,2722,2012.08.13,,1-0,C67,1
86,"Svidler, Peter","Andreikin, Dmitry",,,2013.08.25,,1/2-1/2,B12,5.4
87,"Andreikin, Dmitry","Tikhomirov, Sergey",,,2003.??.??,,1-0,C60,1
88,"Andreikin, Dmitry","Ovetchkin, Roman",2700,2501,2012.06.17,,1-0,E53,2
89,"Andreikin, Dmitry","Karimov, Alisher",2726,2222,2020.09.22,,1-0,B23,1
90,"Zou, Chen","Andreikin, Dmitry",2384,2719,2018.11.30,team-tourn,0-1,B28,22.6
91,"Andreikin, Dmitry","Zvjaginsev, Vadim",2708,2643,2017.10.02,swiss (blitz),1/2-1/2,B09,14
92,"Oparin, Grigoriy","Andreikin, Dmitry",2652,2725,2021.03.06,,1-0,C00,?
93,"Andreikin, Dmitry","Jumabayev, Rinat",2729,2628,2022.04.05,,1/2-1/2,D11,5
94,"Karjakin, Sergey","Andreikin, Dmitry",,,2015.09.21,,1/2-1/2,C67,4.2
95,"Andreikin, Dmitry","Dreev, Aleksey",,,2013.08.19,,0-1,B12,3.3
96,"Andreikin, Dmitry","Nepomniachtchi, Ian",2710,2768,2018.08.28,tourn,1/2-1/2,D85,4
97,"Hauge, Lars Oskar","Andreikin, Dmitry",2393,2732,2016.03.11,tourn,0-1,B47,5
98,"Pridorozhni, Aleksei","Andreikin, Dmitry",2579,2736,2016.10.04,swiss (blitz),0-1,A01,19.3
99,"Naroditsky, Daniel","Andreikin, Dmitry",2621,2725,2021.03.06,,0-1,C04,?
100,"Kobalia, Mikhail","Andreikin, Dmitry",2651,2713,2013.06.06,,0-1,C65,5.8
101,"Fedoseev, Vladimir","Andreikin, Dmitry",2701,2729,2022.04.05,,0-1,D00,8
102,"Andreikin, Dmitry","Nakamura, Hikaru",2725,2736,2021.04.13,,0-1,B06,9
103,"Andreikin, Dmitry","Rodshtein, Maxim",2503,2517,2006.12.09,k.o. (blitz),1-0,B52,4.1
104,"Bok, Benjamin","Andreikin, Dmitry",2624,2724,2022.02.15,,0-1,A40,11
105,"Kamsky, Gata","Andreikin, Dmitry",2705,2509,2007.01.22,match (blitz),0-1,B21,?
106,"Ayats Llobera, Gerard","Andreikin, Dmitry",2395,2719,2018.12.15,swiss,0-1,A02,2
107,"Andreikin, Dmitry","Kulkarni, Rakesh",2712,2332,2018.02.14,,1-0,B42,6
108,"Wang, Hao","Andreikin, Dmitry",2688,2793,2019.05.18,blitz,0-1,,15.4
109,"Esipenko, Andrey","Andreikin, Dmitry",2682,2726,2020.10.03,,0-1,A42,10
110,"Shalimov, V.","Andreikin, Dmitry",2457,2495,2005.04.24,,1/2-1/2,E14,5
111,"Kobo, Ori","Andreikin, Dmitry",2498,2724,2021.11.23,,0-1,E20,6
112,"Guseva, Marina","Andreikin, Dmitry",2394,2728,2021.10.26,,0-1,A40,1
113,"Andreikin, Dmitry","Iskandarov, Misratdin",2725,2535,2021.03.06,,0-1,A27,?
114,"Benitez Lozano, Javier","Andreikin, Dmitry",2367,2725,2021.04.06,,0-1,A27,1
115,"Andreikin, Dmitry","Fedoseev, Vladimir",2729,2701,2022.05.10,,1-0,E06,11
116,"Sjugirov, Sanan","Andreikin, Dmitry",2664,2736,2016.11.09,swiss,1/2-1/2,E32,4.1
117,"Brkic, Ante","Andreikin, Dmitry",2530,2604,2008.08.12,swiss,1-0,C16,10.4
118,"Andreikin, Dmitry","Grischuk, Arina",2729,2742,2022.04.02,rapid,1-0,A48,9
119,"Peng, Xiongjian","Andreikin, Dmitry",2460,2743,2019.08.21,,0-1,A40,13.6
120,"Andreikin, Dmitry","Goganov, Aleksey",2635,2448,2010.02.02,,1-0,B14,4
121,"Samadov, Read","Andreikin, Dmitry",2375,2728,2021.10.09,,1/2-1/2,E10,7
122,"Fedoseev, Vladimir","Andreikin, Dmitry",2726,2712,2017.07.18,,1/2-1/2,C18,3
123,"Dobrov, Vladimir","Andreikin, Dmitry",2478,2724,2022.02.15,,0-1,D37,8
124,"Andreikin, Dmitry","Mohammad Fahad, Rahman",2725,2319,2021.01.26,,1-0,A45,6
125,"Vokhidov, Shamsiddin","Andreikin, Dmitry",2536,2724,2022.01.18,,0-1,B46,10
126,"Yu, Yangyi","Andreikin, Dmitry",2751,2712,2017.12.12,blitz,0-1,A07,4.6
127,"Fier, Alexandr","Andreikin, Dmitry",2558,2726,2020.11.17,swiss,0-1,D37,4
128,"Yilmaz, Mustafa","Andreikin, Dmitry",2595,2741,2019.10.27,,0-1,,4.1
129,"Andreikin, Dmitry","Fedorov, Alexei",2604,2560,2008.07.18,swiss,1/2-1/2,B30,9
130,"Andreikin, Dmitry","Nechaev, Oleg",2705,2410,2017.10.05,team-tourn (blitz),1-0,A45,14
131,"Andreikin, Dmitry","Levin, Evgeny",2686,2472,2011.??.??,,1-0,E71,5
132,"Kamsky, Gata","Andreikin, Dmitry",2665,2725,2020.12.01,,1/2-1/2,C42,5
133,"Grischuk, Alexander","Andreikin, Dmitry",2776,2724,2021.06.23,k.o.,0-1,B30,1.4
134,"Bosiocic, Marin","Andreikin, Dmitry",,,2012.03.21,,1/2-1/2,C60,2
135,"Yilmaz, Mine","Andreikin, Dmitry",2630,2725,2021.01.02,blitz,1-0,D37,?
136,"Jobava, Baadur","Andreikin, Dmitry",2603,2726,2020.09.01,,1-0,D13,9
137,"Andreikin, Dmitry","Howell, David W L",,,2000.10.18,,1-0,C97,7
138,"Prohaszka, Peter","Andreikin, Dmitry",2604,2733,2016.08.23,,1/2-1/2,D10,4.3
139,"Andreikin, Dmitry","Rodshtein, Maxim",2650,2609,2010.07.24,,1/2-1/2,A29,6
140,"Andreikin, Dmitry","Negi, Parimarjan",2495,2349,2005.05.20,tourn,1/2-1/2,B92,7
141,"Andreikin, Dmitry","Sarana, Alexey",2724,2685,2022.03.20,rapid,1/2-1/2,D02,1.1
142,"Andreikin, Dmitry","Gledura, Benjamin",2741,2654,2019.10.26,,1-0,D12,3.4
143,"Ponkratov, Pavel","Andreikin, Dmitry",2579,2625,2009.06.18,,1/2-1/2,C43,7
144,"Andreikin, Dmitry","Caspi, Israel",2726,2489,2020.09.22,,1-0,C42,5
145,"Gelfand, Boris","Andreikin, Dmitry",2680,2728,2021.09.11,,1/2-1/2,E06,4.3
146,"Andreikin, Dmitry","Kotsur, Pavel",2700,2548,2012.07.10,blitz,1/2-1/2,A04,25
147,"Andreikin, Dmitry","Gunina, Valentina",2736,2497,2016.06.18,,1/2-1/2,D00,10
148,"Karjakin, Sergey","Andreikin, Dmitry",2250,,2000.10.19,,1/2-1/2,C42,8
149,"Andreikin, Dmitry","Gupta, Abhijeet",2734,2607,2017.04.22,swiss,1/2-1/2,B62,5.3
150,"Andreikin, Dmitry","Fawzy, Adham",2725,2461,2019.03.06,team-tourn,1/2-1/2,E17,2.3
151,"Andreikin, Dmitry","Conte, Ange",2724,2340,2021.12.14,,1-0,D27,5
152,"Andreikin, Dmitry","Tarlabasi, Emirhan",2725,2301,2021.01.19,,1-0,C19,7
