,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
404,"Abdusattorov, Nodirbek","Firouzja, Alireza",2486,2527,2017.09.27,team-swiss (blitz),0-1,B44
405,"Kalashian, David","Firouzja, Alireza",2398,2728,2020.06.16,,0-1,C07
406,"Firouzja, Alireza","Martinez Alcantara, Jose Eduardo",2682,2583,2019.05.21,,1-0,B90
407,"Firouzja, Alireza","Nguyen, Ngoc Truong Son",2456,2629,2016.12.29,blitz,1/2-1/2,E54
408,"Firouzja, Alireza","Brodsky, David",2607,2415,2018.11.30,team-swiss,1-0,C82
409,"Firouzja, Alireza","Carlsen, Magnus",2749,2862,2021.02.22,,0-1,E11
410,"Firouzja, Alireza","Sindarov, Javokhir",2582,2484,2018.09.08,,1/2-1/2,C92
411,"Gholami, Aryan","Firouzja, Alireza",2532,2685,2019.07.26,,1/2-1/2,
412,"Shirov, Alexei","Firouzja, Alireza",2656,2499,????.??.??,team,1/2-1/2,C92
413,"Paravyan, David","Firouzja, Alireza",2653,2728,2020.11.03,swiss,1/2-1/2,C72
414,"Martinez Alcantara, Jose Eduardo","Firouzja, Alireza",2583,2682,2019.05.21,,0-1,C77
415,"Firouzja, Alireza","David, Alberto",2682,2557,2019.05.31,rapid,1-0,E01
416,"Socko, Bartosz","Firouzja, Alireza",2618,2723,2019.12.30,blitz,0-1,E60
417,"Firouzja, Alireza","Costachi, Mihnea",2656,2443,2021.12.26,rapid,1/2-1/2,
418,"Martinez Alcantara, Jose Eduardo","Firouzja, Alireza",2583,2682,2019.05.21,,0-1,A15
419,"Firouzja, Alireza","Paravyan, David",2728,2653,2020.08.26,,1/2-1/2,C65
420,"Yu, Yangyi","Firouzja, Alireza",2738,2723,2019.12.27,rapid,1/2-1/2,B90
421,"Firouzja, Alireza","Gholami, Aryan",2368,2223,2017.05.02,rapid,1/2-1/2,A62
422,"Firouzja, Alireza","Mamedyarov, Shakhriyar",2759,2770,2021.04.03,,0-1,B11
423,"Firouzja, Alireza","Abdusattorov, Nodirbek",2804,2633,2021.12.29,blitz,1-0,A45
424,"Mekhitarian, Krikor Sevag","Firouzja, Alireza",2554,2728,2020.09.08,,1-0,B48
425,"Firouzja, Alireza","Van Foreest, Jorden",2749,2671,2021.01.21,,1/2-1/2,D02
426,"Firouzja, Alireza","Giri, Anish",2703,2731,2020.04.28,,1-0,
427,"Sorkin, Igor","Firouzja, Alireza",2383,2728,2020.08.11,swiss (blitz),0-1,D02
428,"Firouzja, Alireza","Dubov, Daniil",2759,2710,2021.05.19,,1-0,D70
429,"Radjabov, Teimour","Firouzja, Alireza",2765,2759,2021.06.18,blitz,1-0,
430,"Skripchenko, Almira","Firouzja, Alireza",2403,2702,2019.09.27,blitz,1/2-1/2,
431,"Carlsen, Magnus","Firouzja, Alireza",2862,2749,2021.02.27,,1/2-1/2,C45
432,"Maghsoodloo, Parham","Firouzja, Alireza",2243,2285,2016.06.30,match,1-0,D85
433,"Firouzja, Alireza","Carlsen, Magnus",2728,2863,2020.04.15,blitz,1-0,
434,"Firouzja, Alireza",Narayanan.S.L,2728,2618,2020.01.25,blitz,1-0,
435,"Nakamura, Hikaru","Firouzja, Alireza",2736,2759,2021.04.07,,1-0,A01
436,"Firouzja, Alireza","Duda, Jan Krzysztof",2703,2774,2021.04.26,,0-1,
437,"Firouzja, Alireza","Ahmed, Sarhan",2561,2257,2018.07.28,,1-0,B45
438,"Hamidi, Amir Mohammad","Firouzja, Alireza",1963,2079,2015.01.23,,1-0,A85
439,"Firouzja, Alireza","Puranik, Abhimanyu",2582,2524,2018.09.13,,0-1,A15
440,"Mekhitarian, Krikor Sevag","Firouzja, Alireza",2554,2728,2020.10.20,,1-0,B80
441,"Firouzja, Alireza","Asadli, Vugar Afgan Oglu",2685,2502,2019.07.28,,1-0,
442,"Firouzja, Alireza","Abdusattorov, Nodirbek",2618,2560,2019.02.27,,1/2-1/2,D37
443,"Nepomniachtchi, Ian","Firouzja, Alireza",2792,2759,2021.06.20,blitz,1/2-1/2,
444,"Wei, Yi","Firouzja, Alireza",2736,2682,2019.07.28,,1-0,A15
445,"Firouzja, Alireza","Khanin, Semen",2728,2482,2020.05.26,,1/2-1/2,D86
446,"Firouzja, Alireza","Esipenko, Andrey",2728,2682,2020.06.09,,1-0,B01
447,"Gharibyan, Mamikon","Firouzja, Alireza",2432,2728,2020.08.04,,1-0,E73
448,"Firouzja, Alireza","Svidler, Peter",2759,2714,2021.06.28,,1-0,B90
449,"Abdusattorov, Nodirbek","Firouzja, Alireza",2560,2607,2018.12.01,team-swiss,1/2-1/2,B55
450,"Fedoseev, Vladimir","Firouzja, Alireza",2756,2750,2020.11.04,,1/2-1/2,
451,"Aronian, Levon","Firouzja, Alireza",2758,2702,2019.10.03,,0-1,B50
452,"Golizadeh, Asghar","Firouzja, Alireza",2450,2079,2017.09.15,,1/2-1/2,E20
453,"Maghsoodloo, Parham","Firouzja, Alireza",2676,2728,2020.06.14,blitz,0-1,A00
454,"Firouzja, Alireza","Chernobay, Artem",2728,2490,2020.10.27,swiss,1-0,A00
455,"Firouzja, Alireza","Artemiev, Vladislav",2759,2704,2021.09.03,rapid,0-1,
456,"Oleksiyenko, Mykhaylo","Firouzja, Alireza",2594,2702,2019.10.27,blitz,0-1,
457,"Firouzja, Alireza","Wei, Yi",2682,2736,2019.07.28,,1/2-1/2,C02
458,"Van Foreest, Jorden","Firouzja, Alireza",2563,2656,2021.12.27,rapid,1/2-1/2,
459,"Firouzja, Alireza","Nakamura, Hikaru",2759,2736,2021.04.07,,1-0,B06
460,"Chigaev, Maksim","Firouzja, Alireza",2631,2759,2021.03.23,,0-1,B00
461,"Firouzja, Alireza","Idani, Pouya",2470,2576,2017.03.08,,1/2-1/2,E06
462,"Firouzja, Alireza","Yilmaz, Mine",2770,2626,2021.11.15,,1-0,B90
463,"Firouzja, Alireza","Carlsen, Magnus",2728,2863,2020.09.18,blitz,0-1,C65
464,"Firouzja, Alireza","Wei, Yi",2682,2736,2019.07.28,,1-0,C74
465,"Firouzja, Alireza","Quparadze, Giga",2728,2463,2020.10.20,,0-1,A02
466,"Firouzja, Alireza","Dubov, Daniil",2723,2683,2020.01.26,,1/2-1/2,D02
467,"Giri, Anish","Firouzja, Alireza",2764,2728,2020.11.03,swiss,0-1,A40
468,"Firouzja, Alireza","Mamedyarov, Shakhriyar",2614,2752,2019.12.28,rapid,1-0,B11
469,"Tuan Minh, Tran","Firouzja, Alireza",2518,2728,2020.08.11,,0-1,E70
470,"Firouzja, Alireza","Carlsen, Magnus",2723,2872,2019.12.30,blitz,0-1,C72
471,"Aronian, Levon","Firouzja, Alireza",2758,2702,2019.10.03,,1-0,A14
472,"Komarov, Dimitri","Firouzja, Alireza",2498,2079,2016.10.28,,1-0,B39
473,"Firouzja, Alireza","Moradi, Amirmasoud",2618,2318,2019.01.31,tourn,1-0,C92
474,"Firouzja, Alireza","Tabatabaei, Mohammad Amin",2079,2488,2015.12.16,,1-0,B90
475,"Short, Nigel D","Firouzja, Alireza",2671,2079,2016.07.14,,1-0,B07
476,"Carlsen, Magnus","Firouzja, Alireza",2862,2749,2021.02.27,,1-0,B54
477,"Firouzja, Alireza","Dubov, Daniil",2723,2690,2019.12.30,blitz,0-1,B31
478,"Kuzubov, Yuriy","Firouzja, Alireza",2643,2728,2020.09.01,,1-0,A48
479,"Firouzja, Alireza","Maze, Sebastien",2749,2547,2021.03.02,,0-1,A45
480,"Gadimbayli, Abdulla","Firouzja, Alireza",2470,2749,2020.12.24,blitz,1-0,C47
481,"Firouzja, Alireza","Stephan, Victor",2728,2439,2020.06.13,blitz,1-0,A61
482,"Anton Guijarro, David","Firouzja, Alireza",2673,2759,2021.08.01,,0-1,
483,"Dominguez, Jose Manuel","Firouzja, Alireza",2283,2582,2018.10.01,team-swiss,0-1,B50
484,"Firouzja, Alireza","Abdulla Azar Oglu, Gadimbayli",2749,2470,2020.12.24,,1-0,A00
485,"Firouzja, Alireza","Guzman, Cesar",2728,2258,2020.05.12,,1-0,E18
486,"Firouzja, Alireza","Ali Ghafourian, Amir",2521,2181,2017.11.02,,1-0,B07
487,"Caruana, Fabiano","Firouzja, Alireza",2828,2728,2020.10.13,,1/2-1/2,B12
488,"Aravindh, Chithambaram","Firouzja, Alireza",2641,2728,2020.06.16,,0-1,A05
489,"Carlsen, Magnus","Firouzja, Alireza",2862,2749,2021.02.22,,1-0,B43
490,"Malyshev, Vasilij","Firouzja, Alireza",2353,2759,2021.04.03,,0-1,B95
491,Narayanan.S.L,"Firouzja, Alireza",2611,2702,2020.04.10,blitz,1/2-1/2,A46
492,"Firouzja, Alireza","Tabatabaei, Mohammad Amin",2079,2577,2018.03.14,,0-1,B19
493,"Tang, Andrew","Firouzja, Alireza",2538,2759,2021.04.07,,0-1,E32
494,"Firouzja, Alireza","Martinez Alcantara, Jose Eduardo",2682,2583,2019.05.21,,0-1,B91
495,"Firouzja, Alireza","Matinian, Nikita",2749,2470,2021.03.02,,1-0,A45
496,"Wei, Yi","Firouzja, Alireza",2736,2682,2019.07.28,,1/2-1/2,C46
497,"Firouzja, Alireza","Sibashvili, Giorgi",2525,2412,2017.10.28,,1/2-1/2,D39
498,"Mousavi, Seyed Khalil","Firouzja, Alireza",2412,2470,2017.03.11,tourn,1-0,B07
499,"Sevian, Samuel","Firouzja, Alireza",2666,2682,2019.07.09,,1-0,A48
500,"Pashikian, Arman","Firouzja, Alireza",2599,2702,2019.09.11,,1/2-1/2,D37
501,"Firouzja, Alireza","Fedoseev, Vladimir",2749,2676,2020.11.05,,1-0,D78
502,"Sevian, Samuel","Firouzja, Alireza",2666,2682,2019.07.09,,1/2-1/2,D02
503,"Firouzja, Alireza","Grischuk, Alexander",2749,2777,2020.12.25,,1-0,D37
504,"Carlsen, Magnus","Firouzja, Alireza",2863,2728,2020.04.20,,1-0,D38
505,"Wei, Yi","Firouzja, Alireza",2736,2682,2019.07.28,,1/2-1/2,A15
506,"Firouzja, Alireza",Aryan Chopra,2682,2553,2019.06.15,,1-0,E99
507,"Jones, Gawain C B","Firouzja, Alireza",2670,2728,2020.10.20,swiss (blitz),1/2-1/2,C56
508,"Meier, Georg","Firouzja, Alireza",2628,2702,2020.04.05,blitz,0-1,A37
509,"Van Foreest, Jorden","Firouzja, Alireza",2644,2723,2020.01.19,,1/2-1/2,B90
510,"Nakamura, Hikaru","Firouzja, Alireza",2736,2749,2020.12.20,,1-0,A05
511,"Edouard, Romain","Firouzja, Alireza",2649,2728,2020.06.13,blitz,0-1,E97
512,"Firouzja, Alireza","Nakamura, Hikaru",2759,2736,2021.08.01,,1/2-1/2,
513,"Firouzja, Alireza","Valles Moreno, Ivan",2728,2417,2020.05.16,blitz,1-0,E81
514,"Firouzja, Alireza","Jacobson, Brandon",2749,2487,2020.12.19,,0-1,B50
515,"Firouzja, Alireza","Demchenko, Anton",2618,2679,2019.01.08,team-swiss (rapid),1/2-1/2,C76
516,"Firouzja, Alireza","Piorun, Kacper",2728,2601,2020.05.17,blitz,0-1,D38
517,"Firouzja, Alireza","Ding, Liren",2703,2836,2020.04.18,,1/2-1/2,
518,"Kazhgaleyev, Murtas","Firouzja, Alireza",2457,2367,2018.07.27,team-swiss (rapid),0-1,E71
519,"Harikrishna, Pentala","Firouzja, Alireza",2732,2728,2020.09.19,blitz,0-1,E52
520,"Firouzja, Alireza","Khademalsharieh, Sarasadat",2079,2413,2018.02.10,,1-0,C78
521,"Nepomniachtchi, Ian","Firouzja, Alireza",2784,2728,2020.09.17,rapid,1/2-1/2,B10
522,"Medghoul, Sherif","Firouzja, Alireza",2148,2682,2019.06.01,blitz,0-1,E00
523,"Praggnanandhaa, Rameshbabu","Firouzja, Alireza",2517,2526,2017.12.14,team-swiss,0-1,B85
524,"Firouzja, Alireza","Carlsen, Magnus",2728,2863,2020.04.15,blitz,1-0,
525,"Firouzja, Alireza","Zierk, Steven",2728,2499,2020.07.14,,0-1,D27
526,"Firouzja, Alireza","Aronian, Levon",2703,2778,2020.11.23,tourn,1-0,
527,"Tejedor Fuente, Enrique","Firouzja, Alireza",2434,2759,2021.03.30,,0-1,B00
528,"Firouzja, Alireza","Nakamura, Hikaru",2749,2736,2020.12.20,,0-1,C46
529,"Paravyan, David","Firouzja, Alireza",2647,2749,2020.12.19,,0-1,B10
530,"Firouzja, Alireza","Iskandarov, Misratdin",2749,2535,2021.02.09,,1-0,A48
