,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
58,"Korneev, Oleg","Radjabov, Teimour",2611,2673,2005.04.09,tourn,1/2-1/2,B33,9
59,"Kasimdzhanov, Rustam","Radjabov, Teimour",2706,2726,2014.11.01,tourn,1/2-1/2,B44,10
60,"Radjabov, Teimour","Mamedyarov, Shakhriyar",2788,2726,2012.07.10,tourn (blitz),1/2-1/2,D79,26
61,"Radjabov, Teimour","Mamedyarov, Shakhriyar",2758,2767,2019.09.22,,1/2-1/2,C53,4.3
62,"Eljanov, Pavel","Radjabov, Teimour",2658,2729,2006.10.12,team,1/2-1/2,A36,5.1
63,"Radjabov, Teimour","Karjakin, Sergey",2729,2672,2006.11.02,k.o. (rapid),1-0,B97,3.2
64,"Radjabov, Teimour","Kramnik, Vladimir",2784,2801,2012.06.10,swiss,1/2-1/2,,?
65,"Radjabov, Teimour","Bruzon Batista, Lazaro",2724,2664,2014.08.09,team-swiss,1-0,E16,7.2
66,"Van Wely, Loek","Radjabov, Teimour",2618,2751,2008.11.15,,1-0,E97,3
67,"Radjabov, Teimour","Aronian, Levon",2752,2757,2008.11.19,team-schev,1/2-1/2,A07,6.3
68,"Radjabov, Teimour","Ghaem Maghami, Ehsan",2738,2596,2015.10.13,blitz,1/2-1/2,A04,7.5
69,"Kulaots, Kaido","Radjabov, Teimour",2576,2667,2005.02.16,swiss,1/2-1/2,B30,2
70,"Jakovenko, Dmitry","Radjabov, Teimour",2747,2726,2014.10.22,,1/2-1/2,A35,2.3
71,"Vitiugov, Nikita","Radjabov, Teimour",2725,2738,2015.10.13,blitz,0-1,A45,4.18
72,"Aronian, Levon","Radjabov, Teimour",2744,2729,2007.03.28,tourn (rapid),0-1,D00,10
73,"Radjabov, Teimour","Karjakin, Sergey",2773,2769,2012.01.20,,1-0,E15,6
74,"Radjabov, Teimour","Danilov, Alexandr",2438,2364,1999.11.02,,1/2-1/2,D03,9
75,"Wang, Hao","Radjabov, Teimour",2718,2744,2011.07.17,team-tourn,1/2-1/2,E99,1.1
76,"Kamsky, Gata","Radjabov, Teimour",2720,2756,2009.06.15,tourn,1/2-1/2,B73,2
77,"Radjabov, Teimour","Smeets, Jan",2761,2601,2009.01.28,tourn,1/2-1/2,A11,10
78,"Nakamura, Hikaru","Radjabov, Teimour",2786,2710,2017.05.13,,1/2-1/2,D30,2.2
79,"Radjabov, Teimour","Aronian, Levon",2758,2778,2021.02.08,rapid,1/2-1/2,,15.6
80,"Radjabov, Teimour","Svidler, Peter",2610,2688,2002.06.01,k.o. (rapid),1/2-1/2,D27,1.1
81,"Radjabov, Teimour","Gelfand, Boris",2710,2724,2017.05.20,,1/2-1/2,E01,8.4
82,"Bacrot, Etienne","Radjabov, Teimour",2675,2670,2004.06.24,k.o.,0-1,E97,3.4
83,"Azmaiparashvili, Zurab","Radjabov, Teimour",2666,2628,2002.10.10,tourn,1/2-1/2,A90,1
84,"Grachev, Boris","Radjabov, Teimour",2192,2395,1999.??.??,,0-1,C06,?
