,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
59,"Nakamura, Hikaru","Ivanov, Alexander",2676,2633,2004.10.17,swiss,1/2-1/2,C92,6
60,"Nakamura, Hikaru","Bai, Jinshi",2781,2571,2018.03.07,,1-0,D00,9
61,"Altounian, Levon","Nakamura, Hikaru",2428,2774,2011.06.05,k.o. (blitz),0-1,B22,1.1
62,"Nakamura, Hikaru","Maisuradze, Nino",2771,2320,2012.04.08,swiss,1-0,B23,5
63,"Nakamura, Hikaru","Dzindzichashvili, Roman",2430,2542,2002.03.22,,0-1,B07,1.1
64,"Nakamura, Hikaru","Kramnik, Vladimir",2787,2812,2016.06.11,tourn (blitz),1/2-1/2,D35,4
65,"Nakamura, Hikaru","Jaracz, Piotr",2750,2465,2022.04.19,,1-0,A06,2
66,"Nakamura, Hikaru","Dubov, Daniil",2761,2690,2019.05.22,,1/2-1/2,,13.1
67,"Nakamura, Hikaru","Sadhwani, Raunak",2736,2555,2021.07.27,,1-0,C65,11
68,"Nakamura, Hikaru","Giri, Anish",2736,2774,2021.12.06,,1/2-1/2,A00,2.39
69,"Liang, Awonder","Nakamura, Hikaru",2590,2746,2019.03.23,,1/2-1/2,C53,4.4
70,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2900,2822,2020.12.12,,0-1,,2.5
71,"Nakamura, Hikaru","Maze, Sebastien",2701,2571,2009.05.02,team,1-0,A00,6
72,"Song, Michael","Nakamura, Hikaru",2421,2736,2021.07.20,,0-1,A80,2
73,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2785,2796,2017.06.05,tourn (blitz),1/2-1/2,E60,4
74,"Nakamura, Hikaru","So, W.",2745,2767,2020.02.21,,1-0,C27,4.31
75,"Carlsen, Magnus","Nakamura, Hikaru",,,2016.06.12,tourn (rapid),1-0,,18
76,"Hou, Yifan","Nakamura, Hikaru",2658,2777,2018.07.26,,0-1,B08,1.25
77,"Nakamura, Hikaru","Aronian, Levon",2613,2684,2005.01.30,,1/2-1/2,C89,6
78,"Nakamura, Hikaru","Caruana, Fabiano",2802,2805,2015.06.15,,1-0,A33,6.2
79,"Nakamura, Hikaru","Zierk, Steven",2736,2499,2020.08.04,,1-0,A06,4
80,"Shankland, Sam","Nakamura, Hikaru",2709,2750,2022.04.26,,0-1,D37,8
81,"Karjakin, Sergey","Nakamura, Hikaru",2782,2769,2018.06.20,tourn (rapid),1/2-1/2,C67,3
82,"Nakamura, Hikaru","Bacrot, Etienne",2736,2673,2020.03.04,,1-0,A07,1.1
83,"Nakamura, Hikaru","Halay, Taufik",2281,2198,2000.10.17,,1-0,B76,6
84,"Karjakin, Sergey","Nakamura, Hikaru",2767,2764,2014.10.31,,1/2-1/2,E90,9
85,"Nakamura, Hikaru","Harika, Dronavalli",2776,2496,2015.01.28,swiss,1-0,E14,2
86,"Mamedyarov, Shakhriyar","Nakamura, Hikaru",2729,2783,2012.09.28,tourn,1-0,E68,7
87,"Nakamura, Hikaru","Le, Quang Liem",2792,2739,2017.08.17,tourn (blitz),1/2-1/2,A01,2
88,"Nakamura, Hikaru","Krasenkow, Michal",2701,2622,2009.05.29,team-tourn,1-0,C54,9
89,"Nakamura, Hikaru","Rustemov, Alexander",2736,2525,2021.09.18,,1-0,D12,5
90,"Nakamura, Hikaru","Burrows, Brandon",,,1999.??.??,,1-0,B09,?
91,"Morozevich, Alexander","Nakamura, Hikaru",2748,2760,2012.12.17,blitz,0-1,B03,9.8
92,"Nakamura, Hikaru","So, W.",2736,2770,2020.09.18,blitz,1/2-1/2,C65,8.1
93,"Sarana, Alexey","Nakamura, Hikaru",2643,2736,2021.08.17,,0-1,B06,11
94,"Nakamura, Hikaru","Karjakin, Sergey",2620,2576,2004.12.09,match,1-0,C47,1
95,"Nakamura, Hikaru","Topalov, Veselin",2759,2770,2012.01.24,,1/2-1/2,A23,9
96,"A R Saleh, Salem","Nakamura, Hikaru",2682,2844,2018.12.27,blitz,1/2-1/2,C65,10.9
97,"Nakamura, Hikaru","Duda, Jan Krzysztof",2746,2738,2018.12.28,rapid,1/2-1/2,A04,11.10
98,"Kramnik, Vladimir","Nakamura, Hikaru",2811,2793,2017.04.15,swiss,1/2-1/2,D05,4
99,"McShane, Luke J","Nakamura, Hikaru",2706,2775,2012.06.12,tourn,1/2-1/2,B85,4
100,"Nakamura, Hikaru","Abasov, Nijat",2699,2539,2009.01.02,,1-0,A36,2
101,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2757,2764,2014.11.02,tourn,1/2-1/2,C78,11
102,"Svidler, Peter","Nakamura, Hikaru",2737,2746,2018.12.30,swiss (blitz),1/2-1/2,C65,20
103,"Nakamura, Hikaru","Onischuk, Alexander",,,2015.04.12,,1-0,A00,11
104,"Nakamura, Hikaru","Bok, Benjamin",2699,2277,2009.02.01,swiss,1-0,A22,6
105,"Nakamura, Hikaru","Le, Quang Liem",2770,2715,2011.07.28,tourn,1/2-1/2,D46,7
106,"Nakamura, Hikaru","Bortnyk, Olexandr",2750,2604,2022.04.26,,0-1,A15,8
107,"Nakamura, Hikaru","Illijin, Neboisa",2365,2270,2001.02.21,tourn,1-0,B45,6
108,"Skliarov, Viktor","Nakamura, Hikaru",2383,2736,2020.10.03,,0-1,B06,1
109,"Kasparov  Terry Chapma, Garry","Nakamura, Hikaru",2812,2780,2017.11.30,,1/2-1/2,,3.2
110,"Nakamura, Hikaru","Dubov, Daniil",2779,2660,2016.12.29,blitz,1/2-1/2,E12,12.3
111,"Nakamura, Hikaru","Aronian, Levon",2780,2801,2017.11.25,swiss,1/2-1/2,C89,9
112,"Nakamura, Hikaru","Nepomniachtchi, Ian",2816,2705,2015.09.18,k.o.,1/2-1/2,D85,3.2
113,"Nakamura, Hikaru","Melkumyan, Hrant",2745,2650,2019.10.18,,1-0,C88,8.10
114,"Dominguez Perez, Leinier","Nakamura, Hikaru",2758,2736,2020.09.15,rapid,1/2-1/2,C67,3.2
115,"Gelfand, Boris","Nakamura, Hikaru",2761,2708,2010.01.09,team-tourn,0-1,E97,5.1
116,"Tang, Andrew","Nakamura, Hikaru",2538,2736,2021.05.04,,0-1,A40,10
117,"Van Wely, Loek","Nakamura, Hikaru",2642,2763,2018.09.26,team-swiss,1/2-1/2,D27,3.3
118,"Shipov, Sergei","Nakamura, Hikaru",2613,2494,2002.08.18,,1-0,D85,2.2
119,"Nakamura, Hikaru","Lashkin, Jegor",2736,2386,2021.09.21,,1-0,A06,9
120,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2791,2819,2016.08.24,match (blitz),1-0,D85,12
121,"Nakamura, Hikaru","Santarius, Erik",2701,2252,2009.04.08,match (blitz),1-0,E01,1
122,"Fedoseev, Vladimir","Nakamura, Hikaru",2701,2750,2022.04.10,rapid,1/2-1/2,A14,2.1
123,"Zinchenko, Yaroslav","Nakamura, Hikaru",2546,2735,2010.03.20,,0-1,A30,5.5
124,"Bortnyk, Olexandr","Nakamura, Hikaru",2604,2766,2022.05.15,,1/2-1/2,C24,1.2
125,"Topalov, Veselin","Nakamura, Hikaru",2749,2774,2017.11.09,swiss,1/2-1/2,B12,1.1
126,"Kononenko, Dmitry","Nakamura, Hikaru",2574,2699,2009.03.21,,1-0,A40,3.4
127,"Nakamura, Hikaru","Kim, Alexey",,2200,1998.??.??,,0-1,B23,7
128,"Nakamura, Hikaru","Dubov, Daniil",2750,2711,2022.03.12,rapid,1/2-1/2,A06,3
129,"Movsesian, Sergei","Nakamura, Hikaru",2723,2729,2010.07.16,,1/2-1/2,B20,1
130,"Nakamura, Hikaru","Sadhwani, Raunak",2736,2545,2020.07.07,,1-0,A05,2.2
131,"Demchenko, Anna","Nakamura, Hikaru",2651,2736,2021.10.12,,0-1,B28,6
132,"Svane, Rasmus","Nakamura, Hikaru",2637,2750,2022.03.15,,0-1,B75,6
133,"Nakamura, Hikaru","Sharavdorj, Dashzegve",2640,2463,2006.12.28,,1/2-1/2,E00,4
134,"Nakamura, Hikaru","So, W.",2736,2772,2021.12.19,,1-0,C00,4.31
135,"Wesley, George","Nakamura, Hikaru",2773,2814,2015.10.11,,1/2-1/2,C66,2
136,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2741,2703,2010.11.17,tourn (blitz),0-1,B07,22
137,"Radjabov, Teimour","Nakamura, Hikaru",2784,2775,2012.06.07,tourn (blitz),1-0,A85,8
138,"Harikrishna, Pentala","Nakamura, Hikaru",2763,2787,2016.05.04,match (blitz),0-1,A46,2
139,"Nakamura, Hikaru","Dobrov, Vladimir",2745,2478,2019.10.01,,1-0,D11,1.19
140,"Nakamura, Hikaru","Nguyen, Ngoc Truong Son",2733,2633,2010.10.24,,1-0,C10,3
141,"Rosenthal, Nicholas","Nakamura, Hikaru",,2770,2011.08.03,match (blitz),0-1,A08,2
142,"Carlsen, Magnus","Nakamura, Hikaru",2827,2781,2017.10.01,swiss,1/2-1/2,D37,9
143,"Nakamura, Hikaru","Vachier Lagrave, Maxime",2793,2765,2015.12.05,swiss,1/2-1/2,A69,2
